,SCORE,,,83,100%
 75 ,"The minimum lot area for single detached medium-cost under PD 957 is
a. 100 sqm                       c. 150 sqm
b. 72 sqm                        d. 120 sqm",A,A,Correct,1
 76 ,"Morbidity refers to
a. Deaths per 1,000 population
b. Deaths per 10,000 population
c. Death due to disease                                                                                                                                                                                         d. Incidence of disease",D,D,Correct,1
 77 ,"Free Immunization of infants is a heallh service of a
a. Barangay heallh center
b. Municipal heallh center
c. City heallh center
d. Provincial heath center",A,A,Correct,1
 78 ,"The minimum income required to meet basic. food needs and other non-food requirements such as clothing, housing, transportation, health and educational expenses is called?
a. Poverty threshold                                 c. Food threshold
b. Subsistence  incidence                      d. Poverty incidence",A,A,Correct,1
 79 ,"In the identification of needs and planning of social welfare programs and services, the planner is expected to
a. Involve the clientele
b. Involve the national and local governments
c. Involve the private sector
d. Involve all sectors mentioned above",D,D,Correct,1
 80 ,"Those suffering from restriction or lack of ability to perform an activity in the manner or within the range considered normal for a human being as a result of mental, physical or sensory impairment.
a. Physically challenged                   c. Disabled
b. Impaired                                         d. Disadvantaged",C,C,Correct,1
 81 ,"Standards for firefighting services prescribe that municipalities with 10,000 or more population but below 50,000 should provide at least one fire truck. Adjoining municipalities, however, are allowed to share one fire truck provided that the distance is within prescribed limits. In such cases, the maximum travel time between municipalities.
a. 10 minutes                          c. 20 minutes
b. 15 minutes                         d. 30 minutes",A,A,Correct,1
 82 ,"Whal Is lhe minimum police - population ralio requirement?
a. 1 per 500 populalion                      c. 1 per 700 populallon
b. 1 per 300 population                     d. 1 per 1000 population",A,A,Correct,1
 83 ,"Whal is the minimum jail guard - Inmate raUo requirement?
a. 1 per 7 inmates                              c. 1 per 3 inmates
b. 1 per 5 inmates                             d. 1 per 2 inmates",A,A,Correct,1
 84 ,"What is the minimum fire truck - population and firemen ratio requirement?
a. 1:30,000 population and 1:15 firemen
b. 1:28,000 population and 1:14 firemen
c. 1:20,000 population and 1:12 firemen
d. 1:10,000 population and 1:10 firemen",D,D,Correct,1
 85 ,"What is the minimum fireman-population ratio requirement?
a. 1:300                        c. 1:1000
b. 1 :500                      d. 1:2000",D,D,Correct,1
 86 ,"Developer's dedicating a certain amount of open space for the creation of park land in their new development is an example of what?
a. Improvement Standard
b. Exaction
c. Growth Management Controls
d. Recordation",B,B,Correct,1
 87 ,"Which is NOT a standard for sports and recreation?
a. At least 600 sqm per 1,000 population for a city and municipality park
b. At least 500 sqm per 1,000 population for. a designed park
c. At least 1/2 hectare per 1,000 population as open playfield
d. At least 30% of the entire gross area of an openmarket subdivision kept as unbuilt",A,A,Correct,1
,End of Social Planning-1,,,,
