,SCORE,,,390,100%
 16 ,"THE FUNCTIONS OF THE LOCAL GOVT. INCLUDE THE FOLLOWING:
i. FORMULATE LONG TERM, MEDIUM TERM & ANNUAL SOCIO-ECONOMIC DEVELOPMENTJLANS & POUCIE
ii. APPRAISE AND PRIORITIZE SOCIO ECONOMIC DEVELOPMENT PROGRAMS & PROJECTS .
iii. COORDINATE, MONITOR & EVALUATE THE IMPLEMENTATION OF DEVELOPMENT PROGRAMS & PROJECl
iv. PREPARE THE EXECUTIVE BUDGET FOR ENSUING FISCAL YEAR. -
A. i, ii & iii
B. ii, iii & iv
C. iii, iv & v
D. iv, ii & i",A,A,Correct,1
 17 ,"THE TERRITORIALJµRISDICTION OF ANY LOCAL GOVT. TERRITORY MAY BE CLASSIFIED INTO THREE MAJOR ""DIVISIONS"". THESE ARE:
A. ANCESTRAL DOMAIN, STRATEGIC AGRICULTURAL & FISHERIRES DEV. ZONE AND TIMBERLANDS
B. ANCESSTRAL DOMAIN, LANDS OF THE PUBLIC DOMAIN, COASTAL MGMT. ZONE
C. LANDS OF THE PRIVATE DOMAIN, ANCESTRAL DOMAIN AND LANDS OF THE PUBLIC DOMAIN
D. FOREST LANDS, SITTLEMENT AREAS AND INFRASTRUCTURE. ",C,C,Correct,1
 18 ,"PLANNING IS A CYCLICAL AND ITERATIVE PROCESS. WHAT STEP IN THE MULTI-SECTORAL PLANNING PROCE SERVES AS THE LINK BETWEEN A ""SUCCESSOR"" & ""PREDECESSOR"" PLAN, OR LINK BETWEEN TWO PLANNING CYCLES:
A. INVESTMENT AND PROGRAMMING
B. DETERMINE THE VISION-REAlllY GAP
C. PLAN MONITORING & EVALUATION
D. BUDGETING ",B,B,Correct,1
 19 ,"IT IS AN APPROACH TO UNDERSTANDING THE ENVIRONMENTAL AND NATURAL RESOURCES SECTOR ADOP THE ORGANIZATIONAL STRUCTURE OF THE OENR WHEREIN ONE SECTOR CORRESPONDS TO ONE BUREAU""
A. PARAMETRIC APPROACH
B. SECTORAL APPROACH 
C. ECOSYSTEM APPROACH 
D. NONE OF THE ABOVE",B,B,Correct,1
 20 ,"IT IS THE ART OF ARRANGING STRUCTURES ON LAND AND SHAPING THE SPACES BETWEEN.
A. ZONING
B. COMPREHENSIVE LAND USE PLANNING
C. SITE PLANNING
D. CIVIL ENGINEERING & ARCH' L. DESIGN ",C,C,Correct,1
 21 ,"IN 1898, HE WROTE A BOOK ABOUT THE DESIGN FOR AN INDUSTRIAL CITY WHICH LIKE HOWARD’S CONCEPT, WAS TO BE SELF-CONTAINED NEW SETTLEMENT WITH ITS OWN INDUSTRIES AND HOUSING NEARBY.
A. TONY  GARNIER 
B. LEWIS MUMFORD 
C. PETER HALL 
D. LE CORBUSIER",A,A,Correct,1
 22 ,"KNOWN FOR HIS ""UNITE' DE HABITATION"" AND RADIANT CITY.
A. TONY GARNIER
B. LEWIS MUMFORD
C. PETER HALL
D. LE CORBUSIER ",D,D,Correct,1
 23 ,"HE IS ROYALTY BUT CONCERN ABOUT CIVIC DESIGN AND APPEARANCE OF THE BUILT ENVIRONMENT, ACCOMPANIED BY MUCH CRITISM OF MODERN ARCHITECTURE.
A. PRINCE CHARLES
B. SORIA Y MATA
C. LEWIS MUMFORD
D. PATRICK LEWIS ",A,A,Correct,1
 24 ,"LEADING PRACTITIONER OF u CITY BEAUTIFUL"" MOVEMENT.
A. DANIEL BURNHAM
B. PETER FOSTER
C. TONY GARNIER
D. LE CORBUSIER ",A,A,Correct,1
 25 ,"PROPOSED THE uNEIGHBORHOOD UNIT"" AS A SCHEME FOR ARRANGING THE FAMILY LIFE OF COMMUNITY, WHERE RESIDENTS WERE WITHIN CONVENIENT ACCESS TO SCHOOLS, PLAYGROUND AND SHOPS.
A. CLARENCE PERRY
B. DANIEL BURNHAM
C. LE CORBUSIER
D. PATRICK LEWIS 
",A,A,Correct,1
 26 ,"SUGGESTED DISPERSION OF INDUSTRIES AND POPULATION THAT LED TO THE "" NEW TOWN ACT OF 1946H.
A. CLARENCE PERRY
B. SIR BARLOW
C. LE CORBUSIER
D. PATRICK LEWIS ",B,B,Correct,1
 27 ,"RESPONSIBLE IN THE RECONSTRUCTION OF PARIS WHICH IMPOSED A NEW PATIERN OF BROAD BOULEVARDS AND GREAT PARKS ON THE PREVIOUS LABYRINTH STREET PATIERN.
A. GEORGE HAUSMANN 
B. DANIEL BURNHAM 
C. PETER FOSTER 
D. TONY GARNIER",A,A,Correct,1
 28 ,"A PLACE ORIENTED APPROACH TO REGIONAL ANALYSIS ~:CTH~S TO SOCIAL SERVICES. TECHNICAL PLANNING AS WELL AS PEOPLE-ORIENTED APPR
A. APPROACHES PLANNING
B. COMPREHENSIVE LAND USE PLANNING
C. SITE PLANNING
D. CIVIL ENGINEERING AND ARCH'L. DESIGN",A,A,Correct,1
 29 ,"AN APPROACH BASED ON THE ARGUMENT THAT URBAN GROWTH CE , S LARGE CORPORATIONS AND INTERMEDIATE SIZE CITIES ARE PARASITIC, THAT THEY ALLOW TOWN BASE ELITE , L AREAS OF THEIR CENTRAL GOVT. AGENCIES TO EXPLOIT THE RURAL POPULATION AND TO DRAIN RURA RESOURCES.
A. DECENTRALIZED TERRITORIAL APPROACH
B. GROWTH POLE CONCEPT
C. SITE PLANNING
D. URBAN RENEWAL ",A,A,Correct,1
 30 ,"A SPATIAL DEVELOPMENT CONCEPT THAT SUGGEST THAT BY INVESTING HEAVILY IN CAPITAL ITENSIVES INDUSTRIES IN THE LARGEST URBAN CENTERS, GOVT. IN DEVELOPING COUNTRIES CAN STIMULATE GROWTH THAT WILL SPREAD OUTWARD TO GENERATE REGIONAL DEVT. THE ECONOMIES OF SCALE FOUND IN THE LARGEST CITIES.
A. GROWTH POLE CONCEPT
B. NEO-CLASSICISM
C. GENTRIFICATION
D. SPRAWL ",A,A,Correct,1
 31 ,"ACCORDING TO BURRA CHARTER, IT MEANS MAINTAINING THE FABRIC OF THE PLACE IN ITS EXISTING STATE AND RETARDING ITS DETERIORATION. IT ENCOMPASSES CONSERVATION ACTIVITIES THAT CONSOLIDATE AND MAINTAIN THE EXISTING FORM, MATERIAL AND INTEGRITY OF A RESOURCE WHICH INCLUDE THE SHORT-TERM PROTECTIVE MEASURES AS WELL AS LONG-TERM ACTIONS TO PREVENT DETERIORATION QR PREVENT DAMAGE.
A. RECONSTRUCTION
8. REHABILITATION
C. PRESERVATION
D. RENOVATION ",C,C,Correct,1
 32 ,"THE PHIL CONST. STATES THAT, ""CONGRESS SHALL GIVE THE HIGHEST PRIORITY TO THE ENACTMENT OF MEASURES THAT WILL PROTECT AND ENHANCE THE RIGHT OF All PEOPLE TO HUMAN DIGNITY, REDUCE SOCIAL AND ECONOMIC INEQUITIES BY EQUITABLY DIFFUSING WEALTH & POLITICAL POWER FOR THE COMMON GOOD. TO THIS ENO, THE STATE SHALL REGULATE THE ACQUISITION, OWNERSHIP, USE AND DISPOSITION OF PROPERTY AND ITS INCREMENTS"". WHICH OF THE POWERS MENTIONED IS DEVOLVED TO THE LOCAL GOVT. UNITS?
A. ACQUISITION
B. OWNWERSHIP
C. USE
D. DISPOSITION",C,C,Correct,1
 33 ,"IT IS A UST OF PROJECTS, AND ACTIVITIES FOR PLANNED FINANCING THAT ESTABLISHES THE LINK BETWEEN THE LOCAL DEVT. PLAN AND THE BUDGET. IT IS THE PRINCIPAL INSTRUMENT FOR IMPLEMENTING THE COMPREHENSIVE DEVELOPMENT PLAN AND TO SOME EXTENT, SOME ASPECTS OF THE COMPREHENSIVE LAND USE PLAN. 
A. LOCAL EXPENDITURE PROGRAM 
B. LOCAL DEVT. INVESTMENT PLAN 
C. SYNCHRONIZED LOCAL PRINTING AND BUDGETING CALENDAR 
D. EXECUTIVE BUDGET",B,B,Correct,1
 34 ,"INVESTMENT IN THE LOCAL GOVT FINANCES IS WHAT IS LEFT AFTER DEDUCTING All EXPENSES NECESSARY TO RUN THE GOVT MACHINERY, TO SATISFY THE CLAIMS OF CREDITORS IF PUBLIC DEBT HAS BEEN INCURRED, AND TO COMPLY WITH STATUTORY RESERVES. UNLIKE IN HOUSEHOLD FINANCE, HWOEVER, WHERE SAVINGS MUST FIRST BE REALIZED BEFORE SUCH SAVINGS ARE CONVERTED INTO INVESTMENT, INVESTMENT IN PUBLIC FINANCE DOES NOT HAVE TO BE SAVINGS FIRST. INVEST IN THE LGU BUDGET IS A REGULAR OUTLAY THAT HAS TO BE FUNDED WHETHER OR NOT EXCESS OVER OPERATIONS (SAVINGS) IS REALIZED. WHAT IS THAT REGULAR SOURCE OF DUNDS THAT ALLOWS A LOCAL GOVT UNITTO IMPLEMENT PROJECTS WHETHER OR NOT IT HAS SAVINGS?
A. COUNTRYWIDE DEVT FUND
B. PRIORITY DEVT ASSISTANCE FUND
C. 20% OF INTERNAL REVENUE ALLOTMENT
D. CONGRESSIONAL ALLOCATION OR ""PORK BARREL"" ",C,C,Correct,1
 35 ,"WHICH LOCAL SPECIAL BODY DETERMINES THE LEVEL OF THE ANNUAL EXPENDITURES AND CEILINGS OF SPENDING FOR ECONOMIC, SOCIAL, AND GENERAL SERVICES BASED ON THE APPROVED LOCAL DEVT PLANS?
A. THE LOCAL TREASURER'S OFFICE
B. THE LOCAL PLANNING AND DEVELOPMENT OFFICE
C. THE FISCAL MGMT OFFICE
D. THE LOCAL FINANCE COMMITTEE ",D,D,Correct,1
 36 ,"ONE OF THE STRATEGIES TO GENERATE FUNDS FOR LOCAL DEVT INVESTMENT IS THROUGH THE IMPOSITION OF THIS TYPE OF TAX ON THE LANDS WITHIN THE TERRITORIAL JURISDICTION OF PROVINCE, CITY OR MUNICIPALITY SPECIALLY BENEFITTED BY PUBLIC WORKS PROJECTS OR IMPROVEMENTS FUNDED BY THE LOCAL GOVT UNIT CONCERNED.
A. IDLE LAND TAX
B. SPECIAL EDUCATION
C. SPECIAL LEVY
D. ALL OF THE ABOVE ",C,C,Correct,1
 37 ,"THE FOLLOWING MODALITIES ARE ALLOWED BY THE LOCAL GOVT CODE FOR RAISING REVENUES OR SOURCING OF FUNDS FOR LOCAL DEVT PROJECTS.
A. CONTRACTING FOR LOANS, CREDIT AND OTHER FORMS OF INDEBTEDNESS WITH ANY GOVT OR DOMESTIC PRIVATE BANK AND SIMILAR LENDING INSTITUTION.
B. DEFERRED PAYMENT AND SIMILAR FINANCIAL SCHEMES FOR LAND ACQUISITIONS AMONG OTHER THINGS ,
C. BORROWING FROM THE NATIONAL GOVT THROUGH ITS RELENDING INSTITUTIONS USING FUNDS SECURED FROM FOREIGN SOURCES
D. ALL OF THE ABOVE
E. NONE OF THE ABOVE",D,D,Correct,1
 38 ,"THE LOCAL PLAN WITH WHICH CITIES AND MUNICIPALITIES PROMOTE THE GENERAL WELFARE OF ITS INTHABITANTS AND ENSURE THE DELIVERY OF BASIC SERVICES & FACILITIES IN THEIR CAPACITY AS A CORPORATE ENTITY IS
A. POVERTY REDUCTION ACTION PLAN 
B. COMPREHENSIVE DEV. PLAN
C. PLAN FOR THE YOUTH & ELDERLY 
D. NONE OF THE ABOVE 
E. ALL OF THE ABOVE",D,D,Correct,1
 39 ,"THE RECLASSIFICATION OF THE LAND FROM AGRICULTURAL TO URBAN USE IS ALLOWED UNDER SECTION 20 OF THE LOCAL GOVT CODE OF 1991 UNDER THE FOLLOWING CONDITIONS:
1 WHEN THE LAND CEASES TO BE ECONOMICALLY FEASIBLE AND SOUND FOR AGRICULTURAL PURPOSES AS DETERMINED BY THE DEPT OF AGRICULTURE.
2. WHEN THE LAND SHALL HAVE SUBSTANTIALLY GREATER ECONOMIC VALUE FOR RESIDENTIAL, COMMERCIAL, OR INDUSTRIAL PURPOSES, AS DETERMINED BY THE SANGGUNIAN.
3. WHEN THE PROVINCIAL GOVERNOR SO DESIRES
4. WHEN THE GOVERNOR OR MAYOR ORDERS SUCH RECLASSIFICATION
A. 1 & 2
B. 2 & 3
C. 3 & 4
D. 1 & 4",A,A,Correct,1
 40 ,"RECLASSIFICATION OF AGRICULTURAL LAND SHALL BE LIMITED TO THE FOLLOWING PERCENTAGE OF THE TOTAL AGRICULTURAL LAND AREA IN HIGHLY URBANIZED AND INDEPENDENT CITIES AT THE TIME OF THE PASSAGE OF THE ORDINANCE.
A. 20%
B. 25%
C. 15%
D. 30% ",C,C,Correct,1
 41 ,"THIS REFERS TO LAND OCCUPIED, POSSESSED AND UTILIZED, FAMILIES AND CLANS WHO ARE MEMBERS OF THE INDIGENOUS CULTURAL COMMUNITIES/INDIGENOUS PEOPLE SINCE TIME IMMEMORIAL, BY THEMSELVES OR THROUGH THEIR PREDECESSORS-IN-INTEREST, UNDER CLAIMS OF INDIVIDUAL OR TRADITIONAL GROUP OWNERSHIP TO THE PRESENT EXCEPT WHEN INTERRUPTED BY WAR, FORCEMAJEURE OF DISPLACEMENT BY FORCE, DECEIT STEALTH, OR AS A CONSEQUENCE OF GOVT PROJECTS AND OTHER VOLUNTARY DEALINGS ENTERED INTO BY THE GOVT & PRIVATE INDIVIDUALS/CORP., INCLUDING, BUT NOT LIMITED TO, RESIDENTIAL LOTS, RICE TERRACES OR PADDIES, PRIVATE FOREST, SWIDDEN FARMS AND TREE LOTS.
A. ANCESTRAL LANDS
B. ANCESTRAL DOMAIN
C. CULTURAL ANO HERITAGE ZONES
D. HISTORICAL SITES ",B,B,Correct,1
 42 ,"HOW MANY ADMINISTRATIVE REGIONS DO THE PHILS HAVE?
A. 12
B. 13
C. 15
D. 17 ",D,D,Correct,1
 43 ,"IT MEANS THE PRACTICES, REPRESENTATIONS, EXPRESSIONS, KNOWLEDGE, SKILLS - AS WELL AS THE INSTRUMENTS, OBJECTS, ARTIFICATS AND CULTURAL SPACES ASSOCIATED THEREWITH -THAT COMMUNITIES, GROUPS AND, IN SOME CASES, INDIVIDUALS RECOGNIZES AS PART OF THEIR CULTURAL HERITAGE.
A. MUSEUM DEVELOPMENT
B. INTANGIBLE HERITAGE
C. ECO-CULTURAL TOURISM
D. ALL OF THE ABOVE",B,B,Correct,1
 44 ,"A TYPE OF ECOZONE THAT IS NEARBY PORTS OF ENTRY, SUCH AS SEAPORTS ANO AIRPORTS. IMPORTED GOODS MAYBE UNLOADED, REPACKED, SORTED AND MANIPULATED WITHOUT BEING SUBJECTED TO IMPORT DUTIES.
A. TOURISM AND COMMERCIAL
B. EXPORT PROCESSING ZONES
C. ZONES FREEPORT
D. NONE OF THE ABOVE ",C,C,Correct,1
 45 ,"SOME OF THE BENEFITS OF ZONING ARE AS FOLLOWS:
1. MAXIMUM/OPTIMUM USE OF ODD LAND BASED ON SUITABILITY/CAPABILITY
2. SEGREGATION OF LAND USES THEREBY INCREASING TRANSPORT MOBILITY
3. FACILITATION OF COMMUNITY PLANNING
4. PROMOTION OF PUBLIC HEALTH & SAFETY THROUGH COMPATIBLE ARRANGEMENT OF VARIOUS LAND USES
5. PROMOTION OF THE RATIONAL & ORDERLY GROWTH OF THE COMMUNITY.
A. 1, 2, 3
8. 2, 3, 4
C. 4, 5, 1
D. 4, 5, 2
E. 5, 4, 2 ",D,D,Correct,1
 46 ,"WHICH OF THE FOLLOWING ARE THE CONCERNS OF INFRASTRUCTURE DEV. :
1. TO INFLUENCE THE ALLOCATION & UTILIZATION OF LAND & NATURAL RESOURCES CONSISTENT WITH THE PREFERRED SPATIAL STRATEGY.
2. TO ACCELERATE CAPITAL INFORMATION
3. TO CREATE EMPLOYMENT OPPORTUNITIES.
4. TO IMPROVE THE DELIVERY OF EXISTING SOCIAL SERVICES.
A. 1, 2, 3
B. 2, 3, 4
C. 3, 4, 1
D. NONE OF THE ABOVE
E. All OF THE ABOVE",D,D,Correct,1
 47 ,"IT IS THE CLASSIFICATION & ADMINISTRATION OF All DESIGNATED PROTECTED AREAS TO MAINTAIN ESSENTIAL ECOLOGICAL PROCESSES AND LIFE-SUPPORT SYSTEMS, TO PRESERVE GENETIC DIVERSITY, TO ENSURE SUSTAINABLE USE OF RESOURCES FOUND THEREIN, AND TO MAINTAIN THEIR NATURAL CONDITIONS TO THE GREATEST EXTENT POSSIBLE.
A. NATIONAL INTEGRATED PROTECTED AREAS SYSTEMS (NIPAS)
B. ECOTOURISM DEVELOPMENT PLANNING
C. SUSTAINABLE LAND USE PLANNING
D. BIODIVERSITY PROTECTION PLANNING",A,A,Correct,1
 48 ,"AS DEFINED UNDER RA-7586, IT IS A GROUP OF PEOPLE SHARING COMMON BONDS OF LANGUAGE, CUSTOMS, TRADITIONS AND OTHER DISTINCTIVE CULTURAL TRAITS, AND WHO SINCE TIME IMMEMORIAL, OCCUPIED, POSSESED AND UTILIZED A TERRITORY.
A. CULTURALCOMMUNITY
B. INDIGENOUS CULTURAL COMMUNITY
C. TRIBAL COMMUNITY
D. TENURED MIGRANT COMMUNITY ",B,B,Correct,1
 49 ,"ACCORDING TO THE NIPAS THEY ARE AREAS OF NATIONAL SIGNIFICANCE WHICH ARE CHARACTERIZED BY THE HARMONIOUS INTERACTION OF MAN AND LAND WHILE PROVIDING OPPORTUNITIES FOR PUBLIC ENJOYMENT THROUGH RECREATION AND TOURISM WITHIN THE NORMAL LIFESTYLE AND ECONOMIC ACTIVITY OF THESE AREAS.
A. NATIONAL PARKS
B. PROTECTED LANDSCAPES/SEASCAPES
C. ECOTOURISM PARKS
D. NATURAL BIOTIC AREAS",B,B,Correct,1
 50 ,"THEY REFER TO ALL AREAS GENERALLY BELONGING TO ICCs/IPs COMPRISINGLANDS, INLAND WATERS, COASTAL AREAS, AND NATURAL RESOURCES THEREIN HELD UNDER A CLAIM OF OWNERSHIP, OCCUPIED OR POSSESSED BY ICC's/IP's, THEMSELVES OR THROUGH ~HEIR ANCESTORS, COMMUNALLY OR INDIVIDUALLY SINCE TIME IMMEMORIAL CONTINOUSLY TO THE PRESENT EXCEPT WHEN INTERRUPTED BY WAR, FORCEMAJEURE OR DISPLACEMENT BY FORCE, DECEIT, STEALTH OR AS A CONSEQUENCE OF GOVT PROJECTS OR ANY OTHER VOLUNTARY DEALINGS ENTERED INTO BY THE GOVT & PRIVATE INDIVIDUALS, CORP., AND WHICH ARE NECESSARY TO ENSURE THEIR ECONOMIC, SOCIAL AND CULTURAL WELFARE.
A. TRIBAL LANDS
B. ANCESTRAL LANDS
C. ANCESTRAL DOMAIN
D. CULTURAL COMMUNITIES",C,C,Correct,1
 51 ,"IT IS THE DIVISION OF A COMMUNITY INTO DISTRICTS OR ZONES ACCORDING TO PRESENT AND POTENTIAL USE OF LAND TO MAXIMIZE, REGULATE AND DIRECT THEIR USE AND DEVELOPMENT.
A. COMPREHENSIVE DEVELOPMENT PLANNING
B. ZONING
C. LAND USE PLANNING
D. NONE OF THE ABOVE",B,B,Correct,1
 52 ,"UNDER THE LOCAL GOVT CODE, RECLASSIFICATION OF AGRICULTURAL LAND IN COMPONENT CITIES & FIRST TO THIRD CLASS MUNICIPALITIES SHALL BE LIMITED TO:
A. 10%
B. 15%
C. 20%
D. 5% ",A,A,Correct,1
 53 ,"THIS LAW PROVIDES A LIBERALIZED ENVIRONMENT MORE CONDUCIVE TO PRIVATE SECTOR INVESTMENT.
A. RA-77189 (BOT LAW)
B. RETAIL TRADE LIBERALIZATION
C. URBAN DEVELOPMENT & HOUSING ACT
D. NONE OF THE ABOVE ",A,A,Correct,1
 54 ,"A CONTRACTUAL ARRANGEMENT WHEREBY THE PROJECT PROPONENT UNDERTAKES THE FINANCING CONSTRUCTION OF A GIVEN INFRASTRUCTURE OR DEVELOPMENT FACILITY AND AFTER ITS COMPLETION TURNS IT OVER TO THE GOVT AGENCY OR LOCAL GOVT UNIT CONCERNED, WHICH SHALL PAY THE PROPONENT ON AGREED SCHEDULE ITS TOTAL INVESTMENTS EXPANDED ON THE PROJECT, PLUS A REASONABLE RATE OF RETURN THEREON.
A. BUILD AND TRANSFER
B. BUILD OWN AND OPERATE
C. BUILD TRANSFER AND OPERATE
D. DEVELOP, OPERATE AND TRANSFER",C,C,Correct,1
 55 ,"THE USE OF SCIENTIFIC METHODS AND INFORMATION TO DEFINE THE PROBABILITY AND MAGNITUDE OF POTENTIALLY ADVERSE EFFECTS WHICH CAN RESULT FROM EXPOSURE TO HAZADOUS MATERIALS OR SITUATIONS.
A. ENVIRONMENTAL IMPACT STATEMENT
B. ENVIRONMENTAL RISK ASSESSMENT
C. SCOPING
D. NONE OF THE ABOVE",B,B,Correct,1
 56 ,"WHICH OF THESE PROJECTS REQUIRE AN ""EIS"".
A. GOLF COURSE AND RESIDENTIAL SUBDIVISIONS ABOVE 10 HECTARES
B. DRUGSTORE AND BACKYARD PIGGERY
C. PROJECTS UNDER KALAKALAN 20
D. ALL OF THE ABOVE",A,A,Correct,1
 57 ,"A CENTRAL BUSINESS DISTRICT USUALLY HAS A
A. HIGH DAYTIME POPULATION
B. LARGE CONCENTRATION OF OFFICES AND RETAIL ACTIVITIES
C. LARGE DAILY INFLOW AND OUTFLOW OF COMMUTERS
D. ALL OF THE ABOVE",D,D,Correct,1
 58 ,"IF THE LOCATION QUOTIENT OF AN INDUSTRY IN A REGION IS HIGH, IT SUGGEST THAT:
A. THE DISTRIBUTION OF THE INDUSTRY IN THE REGION IS VERY CONCENTRATED
B. THE DISTRIBUTION OF THE INDUSTRY IN THE REGION IS DISPERSED
C. THE DISTRIBUTION OF THE INDUSTRY IN THE REGION DOES NOT DEVIATED MUCH FROM THE DISTRIBUTION OF OTHER INDUSTRIES
D. THE REGION HAS A LARGER SHARE OF THE INDUSTRY RELATIVE TO OTHER REGIONS",D,D,Correct,1
 59 ,"URBAN DEV TENDS TO OCCUR ALONG MAJOR TRANSPORTATION ROUTES REGIONS.
A. POPULATION TENDS TO CONCENTRATE WHERE TRANSPORTATION ROUTES REGIONS
B. TRANSPORTATION FACILITIES TEND TO SERVICE AREAS WHERE THERE IS POPULATION.
C. BOTH A & B",C,C,Correct,1
 60 ,"THE RATE USED TO DISCOUNT THE FUTURE STREAMS OF ESTIMATED COSTS AND BENEFITS IS KNOWN AS:
A. SOCIAL DISCOUNT RATE
B. INFLATION RATE
C. FINANCIAL RATE OF RETURN
D. ECONOMIC INTERNAL RATE OF RETURN",A,A,Correct,1
 61 ,"THIS REPRESENTS THE EARNING POWER OF MONEY INVESTED IN THE PROJECT:
A. INTERNAL RATE OF RETURN
B. NET PRESENT VALUE
C. ANNUITY
D. DISCOUNTING ",A,A,Correct,1
 62 ,"__________ INITIALLY DEVELOPED THE CONCEPT OF ""GROWTH POLE OF REGIONS"".
A. CHRISTALLER
B. PERROUX
C. LENNOIX
D. HOWARD",B,B,Correct,1
 63 ,"__________ IS A SET OF ACCOUNTS, USUALLY IN MONETARY FORM, PREPARED FOR AN ECONOMY AND WIDELY USED IN THE ANALYSIS OF INDUSTRY RELATIONSHIPS.
A. REGIONAL ACCOUNTS MATRIX
B. INPUT-OUTPUT TABLE
C. ECONOMIC BASE TABLE
D. LOCATION QUOTIENT RATION",B,B,Correct,1
