,SCORE,,,190,96%
 10 ,"According to Max Weber in The Protestant Ethic and the Spirit of Capitalism (1904), what was the key factor in
transition from the mercantile economies controlled by European monarchies to profit-driven individual enterprise or laissez faire?
a. Endemic corruption in highly structured Catholic society made people less imaginative and less
entrepreneurial
b. Early Protestants generally emphasized hardwork, simplicity, thrift, discipliQ.e, savings, & reinvestment
of savings
c. Royal treasuries went bankrupt due to Catholics' culture of excess, lavish celebrations, overindulgence, etc. d. Protestants work without the baggage of Seven Capital Sins such as greed, avarice, envy, Iust, gluttony etc.",B,b,Correct,1
 11 ,"Dr. Gideon Sjoberg (1933) daims that cultural exchange from overland trade and commerce in pre-industrial era fostered the formation of the cities, as literate individuals, craftsmen and tool-makers came together to debate and test each other's ideas. Competition among non-farming specialist gave birth to the 'scientific method' as well as to technological advances in plant cultivation and animal breeding.
a. Acculturation and Enculturallon
b. Socio-Cultural Theory of Urbanization
c. Diffusion of Technology Information
d. The Scientific Revolution",B,b,Correct,1
 12 ,"At the start of 19th century industrialization in England before the emergence of full-pledged professional planners, who were the earliest urban planning practitioners who addressed the city-wide problems including 'germ versus filth' dilemma?
a. Microbiologist, biochemist, pharmacists
b. Shelter specialist, housing developers, contractors
c. Industrial engineers, machine engmeers, civil engineers
d. Doctors, epidemiologists, san1tanans, public health personnel",D,d,Correct,1
 13 ,"The milestone that marked the start of lndustrial Age in 1769 and changed the primary mode of economic production was
a. discovery of crude oil, coal, and gas as fuels 
b. invention of steam engine as source of power
c. invention of printing press to propagate scientific knowledge
d. invention of trains, trams, and rail for faster movement of good",B,b,Correct,1
 14 ,"The first grid-iron or orthogonal street pattern in continental America was designed in 1682 by
a. William Penn for Philadelphia, Pennsylvania
b. Pierre Charles L'Enfant for Washington DC
c. Peter Minuit for Manhattan Island, New York
d. John Winthrop for Trimountaine, Boston Common",A,a,Correct,1
 15 ,"Before the rise of 'scientific socialism' based on concept of class-struggle, 'normative or Utopian socialism' based on Christian values was showcased by this philanthropist in New Lanark, Scotland (1799) where excellent working conditions, decent housing, and cheap services for the working dass increased productivity and profit Its founder was later acknowledged as the father of the cooperative movement
a. Robert Owen            c. James Buckingham 
b. John Cadbury          d. Sir Christopher Wren",A,a,Correct,1
 16 ,"Don Arturo Soria Y Mata, a Spanish engineer, suggested that the logic of utility connections (electricity, sewer,
concept of_ telephone lines, gas and water pipes) be the basis of city layout; thus, he considered the impact of
technology in his concept of an elongated urban form running from Cadiz, Spain up to St Petersburg, Russia
a. Ciudad Conectada       b. Ciudad Larga    c. Ciudad Lineal       d. Ciudad Alongada",C,c,Correct,1
 17 ,"Don Arturo Soria y Mata advocated which of the following?
a. Broadacre City                     c. Industrial City
b. Park City                             d. Linear City  ",D,d,Correct,1
 18 ,"In 1898, he wrote a book about the design for an Industrial City which hke Howards concept, was to be self-contained new settlement with its own industries and housing nearby.
a. Tony Gamier                        c. Peter Hall
b. Lewis Mumford                     d. Robert Owen ",A,a,Correct,1
 19 ,"Tony Garnier (1917) conceptualized a lush green city of about 35,000 inhabitants where 'man would rule by himself.' thus there would be no police, no churches, no rigid forms of social control in this Utopian place complete with landscaped homes, factories, trade schools, transport and leisure facilities.
a. Esplanade
b. Axle lndustrielle
c. Post-Industrial Motor City
d. linear Industrial City ",D,d,Correct,1
 20 ,"He wrote the famous book ""Garden Cities of Tomorrow""(1902) and became a most inHuential thinker with
his effort to combine the best features of 'country' as shown in his diagrams of three (3) magnets.
a. Frederic Osborn                       c. Raymond Unwin
b. Patrick Abercrombie                 d. Ebenezer Howard 
",D,d,Correct,1
 21 ,"He provided the principles of town, country, and towncountry disparity and attraction.
a. Clarence Perry                         c. Benton MacKaye
b. Clarence Stein                          d. Ebenezer Howard ",D,d,Correct,1
 22 ,"Ebenezer Howard's ideas were adopted by the British Governments in the enactment of the New Towns Act of
1947. The new towns concept, according to historians, has been illustrated by Howard on a paper napkin. This famous diagram consists of:
a. Two Magnets
b. Three Magnets
c. Four Magnets
d. Five Magnets",B,b,Correct,1
 23 ,"Ebenezer Howard, the most influential among the Great Thinkers in modern urban and regional planning, wrote this famous book, first published in 1898
a. Garden Cities                           c. Tomorrow's Cities
b. Tomorrow                                 d. Garden Cities of Tomorrow 
",B,b,Correct,1
 24 ,"Ebenezer Howard envisioned a new town deliberately outside normal commuter range of the old city. It would fairly small. Its population size shall be:
a. 10,000                                     c. 25,000
b. 20,000                                     d. 32,000",D,d,Correct,1
 25 ,"In Ebenezer Howard's Garden Cities, how many people did he envisage the Garden City's population would have?
a. 25,000                                     c. 35,000
b. 32,000                                     d. 40,000 ",B,b,Correct,1
 26 ,"In Ebenezer Howard's Garden Cities, how many people did he envisage the Central City's population would have?
a. 48,000                                     c. 56,000
b. 52,000                                     d. 58,000 ",D,d,Correct,1
 27 ,"The first new town built following Ebenezer Howard's idea is known as:
Supervised by Sir Raymond Unwin, the first Garden City built in the United Kingdom (1903-1920) was
a. Letchworth                               c. Strenage
b. Hampstead Gardens                 d. Welwyn ",A,a,Correct,1
 28 ,"Considered as the ""Father of City Planning in America,"" he prepared plans for the City of Manila and the City of Baguio from 1903 to 1911 with the assistance of Pierce Andersson.
a. William Howard Taft                  c. Robert Kennon
b. Daniel H. Burnham                   d. John Hay ",B,b,Correct,1
 29 ,"Daniel Burnham is the
a. Father of American City Planning
b. Father of Regional Planning
c. Inventor of Formal City Planning
d. Father of Urban Planning ",A,a,Correct,1
 30 ,"""Make no little plans. They have no magic and probably themselves will not be realized. Make big plans; aim high in hope and work, remembering that a noble, logical diagram once recorded will never die ... ""
a. Leon Battista Alberti                  c. Baron Georges Eugenes Hausmann
b. Daniel H. Burnham                   d. Pierre Charles L Enfant ",B,b,Correct,1
 31 ,"Frank Lloyd Wright proposed an alternative (1932) to the congestion in huge metropolis by way of urban
decentralization wherein each American family would be granted at least one acre of federal land in a self-contained agro-industrial settlement.
a. Exurbia
b. Micropolis
c. Broadacre City
d. Suburbia ",C,c,Correct,1
 37 ,"Which of the following is not a feature of Frank Lloyd Wright's 'Broadacre City' (1932)?
a. Manufacture & commerce set up in twelve 15- storey buildings
b. Railroad and freeway to interconnect cities
c. Densification would preserve much open space
d. Work within walking distance from the home ",C,a,Wrong,0
 38 ,"""A town is a t~ol for free man to overcome chaos and lack or order ... A city 1s the grip or man upon nature ... Geometry Is the means whereby we perceive the external world and express the world within us ... Geometry is the foundation ... Machinery is the result or geometry. The age in which we live is therefore essentially a geometric one ... Town Planning demands uniformity in detail and a sense of movement in general layout...""
a. Gordon Cullen                        c. Aldo Rossi
b. Le Corbusier                          d. Thomas Sharp ",B,b,Correct,1
 39 ," The major objective of Le Corbusier's (Charles-Edouard Jeanneret) cubist ""Radiant City' design (1923) meant for 3 million people consisting of 'uniform 60-storey tower-blocks set in a huge park' was to:
                                                                                                                                                                a. Use high-rise structures to improve safety of people and security of vital institutions
b. Increase city density by building high on a small part of land
c. Increase the public s enjoyment of environmental amenities and viewscapes from varying heights
d. Capture the retail market which justifies why prices are necessarily high in central locations or CBDs",B,b,Correct,1
 40 ,"Which of the following valid critiques of Le Corbusier's (Charles-Edouard Jeanneret) modernist City design pertains to the so-called 'spatial paradox'?
                                                                                                                                                                a. Architectural determinism or the belief that physical design and visual aesthetics are sufficient to
address the basic problems of population.
b. Devoid of thorough studies on demographic, social, economic and transport aspects
c. Goal to decongest the city by increasing congestion at its core.
d. Lack of human-scale as uniform tall structures tend to be disorienting while extremely-vast open
spaces look inhospitable to humans ",C,c,Correct,1
 41 ,"The book Le Urbanisme, provided what city model?
a. Ciudad Lineal                          c. Un Cite lndustrielle
b. Le Ville Radieuse                     d. Cite ideale ",B,b,Correct,1
 42 ,"He proposed the 'neighborhood unit' (1929) as a selfcontained 'garden suburb' bounded by major streets, with
shops at intersections and·a school in the middle; its size would be defined by school's catchment area with a radius of quarter-mile or 402 meters. This incorporated Garden City ideas and attempted at some kind of social engineering.
a. Clarence Perry                       c. Clarence Thomas
b. Clarence Stein                        d. Clarence McKay ",A,a,Correct,1
 43 ,"Clarence Perry's ""Neighborhood Unit"" was: 
i. A self contained residential area
ii. Bounded by major streets ,
iii. Shops at the intersections
iv. A school in the middle 
                                                                                                                                                                a. i. ii and iv          b. i, ii and iii           c. i and ii          d. i, ii, iii and iv",D,d,Correct,1
b,"In Clarence Stein's Six (6) Principles of Regional Planning (1920), which one concerns traffic congestion caused by roadside parking?
a. Put factories and industrial buildings where they can be used without wasteful transportation of
people and goods
b. Cars should be stored in homes
c. Arrange for the occupancy of houses
d. Provide ample site in the right places for community use",B,,,
 45 ,"Which of the following features does not describe the New Town concept of Clarence Stein as showcased at Radburn, New Jersey; Columbia, Maryland; Greenbelt, Maryland: Greenhills, Ohio; Greendale, Wilconsin; and Greenbrook NJ?
                                                                                                                                                                a. Huge manufacturing firm at the center
b. Series of superblocks
c. Separation between pedestrian traffic and motor traffic
d. Green spaces which are interconnected ",A,a,Correct,1
 46 ,"The Garden City Movement shaped the British policy of ""urban containment"", with following features, except one:
a. Greenbelts, green girdles, and clear edges for all cities
b. Mass transit to link mother city with garden cities
c. Homestead of about one acre per family
d. Preservation of more farmland & open space ",C,c,Correct,1
 47 ,"The Garden City Movement in the United Kingdom directly addressed large-scale problems caused by the _ ?
a. The Scientific Revolution
b. British-American War of Independence
c. Industrial Revolution
d. World War II and the Holocaust ",C,c,Correct,1
 48 ,"Recognized as 'father of landscape architecture,' he also began the 'Parks and Conservation Movement' in the United States which advanced the idea that city parks and greenways can structure urban space, stimulate mixed uses, dampen class conflict, heighten family and religious values, and serve as aid to social reform.
a. Frederic Law Olmstead Sr                c. George Perkins  Marsh
b. John Muir                                       d. Gifford Pinchot 
",A,a,Correct,1
 48 ,"The first planned park in the US.
a. Yellow Stone National Park               c. Yosemite National Park
b. Central Park                                    d. National Mall",B,b,Correct,1
 49 ,"The movement which introduced the land use zoning.
a. City Efficient                                   c. New Towns
b. City Functional                                d. Modern Town ",B,b,Correct,1
 50 ,"The US Supreme Court's decision in 1926 to uphold the power of an LGU to regulate land use through ordinance in the landmark case of ""Village of Euclid vs. Ambler Realty Company is reckoned as the watershed moment for
a. Regional City Movement
b. City Efficient Movement
c. City Beautiful Movement
d. City Functional Movement ",D,d,Correct,1
 51 ,"This was an American movement in the 1890s that stressed the design of settlements according to the principles of ""grandeur, exuberance, monumentality, drama and tension, cohesiveness, and symmetry"" as demonstrated in the planning of Washington DC, Paris, Chicago, San Francisco, among others:
a. New Towns Movement
b. City Efficient Movement
c. City Beautiful Movement
d. City Functional Movement ",C,c,Correct,1
 52 ,"Among the City Beautiful Movement planners. he was the earliest to articulate the principles of urban design in ""City Planning According to Artistic Principles"" (1889)
a. Camilo Sitte                                     c. Lucio Costa
b. lldefons Cerda                                 d. William Burley Griffin",A,a,Correct,1
 53 ,"Pierre Charles L' Enfant is the
a. Author of The New Exploration: A Philosophy of Regional Planning
b. Father of Urban Planning in Canada
c. Forerunner of the City Beautiful Movement
d. Author of De Re Aedificatoria ",C,c,Correct,1
 54 ,"He prepared the plan for Washington, D.C., and is known as ' the forerunner of the City Beautiful Movement.
a. Daniel Hudson Burnham
b. Pierre Charles L'Enfant
c. Lewis Mumford
d. Charles-Edouard Jeanneret Le Corbusier ",B,b,Correct,1
 55 ,"This city is regarded as the best-planned city in the world.                                                                            a. Paris                                      c. Washington
b. NewYork                                 d. Brasilia ",A,a,Correct,1
 56 ,"He replanned Paris under Emperor Napoleon.
a. Pierre Charles L'Enfant
b. George Eugene Haussman
c. Charles-Edouard Jeanneret Le Corbusier
d. Arturo Soria y Mata",B,b,Correct,1
 57 ,"This city was an attempt at being a Radial City, taking in the form of a ""bird in flight""
a. Curitiba                                    c. Washington
b. Philadelphia                              d. Brasilia ",D,d,Correct,1
 58 ,"They were all contributors to the City Efficient Movement,except for:
a. Dr. Francis Stuart Chapin
b. Don Arturo Soria Y Mata
c. Dr. Konstantineos A. Doxiadis
d. All of the above ",B,b,Correct,1
 59 ,"The school of thought or approach, where planning is from scratch, where there is an empty land and no people occupying it, but not when cities are already settled, wherein public consent has to be solicited, it tends to be ""top down"", implementing only the dominant vision of an authoritative leader or clique. ·
a. City Beautiful                               c. Monumentalism
b. City Planning                               d. Traditional Planning ",C,c,Correct,1
 60 ,"The New Towns Movement of 1920s might have contributed to scattered and uncontrolled development in continental America but the main reason for its suburban sprawl after
World War II was_?
a. Rapid fall of real estate prices in the countryside due to financial meltdown from sub-prime lending
b. Increased value of rural land due to Hoover s Interstate Highway Act of 1956 which funded
federal highways and freeways across many states
c. The widespread use of commuter trains and monorail
d. The popularity of automobile as means of transportation ",D,d,Correct,1
 61 ,"Urban planning is ""concerned with providing the right place at the right site at the right time for the right people"".
a. John Ratcliffe                             c. Brian Mcloughlin
b. Lewis Keeble                              d. George Chadwick",A,a,Correct,1
 62 ,"He described goal formulation as the ""hingepin on which the rational planning process turns.""
a. Hugh Pomeroy                           c. Gunnar Myrdal
b. George Chadwick                       d. David Harvey",B,b,Correct,1
 63 ,"He is the Father of Historical Sociological Approach to Planning
a. Dr. Francis Stuart Chapin
b. Lewis Mumford
c. Dr. Konstantineos A. Doxiadis
d. Don Arturo Soria Y Mata ",B,b,Correct,1
 64 ,"According to Dr. Francis Stuart Chapin Jr in the first comprehensive textbook on urban planning ever written
(1965), the explicit goals of urban planning are the following, except one:
a. Health & Safety
b. Convenience & Amenity
c. Tolerance & Plurality
d. Efficiency & Economy",C,c,Correct,1
 65 ,"Who among the following championed the concept of an , ""Organic City"", that the city is alive?
a. Lewis Mumford                          c. Benton MacKaye
b. Clarence Perry                         d. Sir Leslie Patrick Abercrombie
",A,a,Correct,1
 66 ," ""First, we shape our buildings; thereafter, our buildings shape us."" This quotation is attributed to
a. George Washington                   c. Napoleon Bonaparte
b. Theodore Roosevelt                    d. Winston Churchill ",D,d,Correct,1
 67 ,"Suggested an agropolitan approach of concentrating development activities in rural districts with about 50,000 to 150,000 people.
a. Freidman and Douglas                c. Peter Hall
b. Barry Parker                              d. Doxiadis ",A,a,Correct,1
 68 ,"Perroux is to Growth Pole Theory as Doxiades is to:
a. Industrial Location Theory
b. Patterns of Human Settlements
c. Short-Run Regional Change
d. None of the above",D,d,Correct,1
 69 ,"What is the smallest unit in the Human Settlements Planning or Ekistics by Dr. Constantinos Doxiadis (1951)
a. House                              c. Neighborhood
b. Anthropos                        d. Hamlet ",B,b,Correct,1
 70 ,"What is/are elements of Human Settlements?
a. Micro-space, middle-scale, macro-scale
b. Nature, man, society, shells, networks
c. Production, mobility, communication                                                                                                        d. None of the Above",B,b,Correct,1
 71 ,"The pattern of urban settlement of man is as follows:
a. Urban region, megalopolis, metropolis
b. Village, megalopolis, town
c. Village, city, urban region
d. None of the Above",C,c,Correct,1
 72 ,"His work as a biologist and study of human ecology led to a systematic study of forces that were shaping growth and change in modern cities.
a. Ian McHarg
b. Lewis Mumford
c. Patrick Geddes
d. Kevin Lynch ",C,c,Correct,1
 73 ,"A Scottish biologist who authored the masterpiece entitled ""Cities in Evolution"" (1915) and who coined the terms ""folkwork-place', 'city-region' and 'conurbation' is acknowledged as the 'father of regional planning'
a. Sir Patrick Leslie Abercrombie
b. Sir Patrick Geddes
c. Lewis Mumford
d. Barry Parker",B,b,Correct,1
 74 ,"Patrick Geddes, a Scot biologist who is acknowledge as the father of regional planning set forth his ideas in his
Abercrombie masterpiece entitled                                                                                                                a. Cities and Regions
b. Cities in Evolution
c. Cities in Evolutionary Change
d. Revolution in Cities",B,b,Correct,1
 75 ,"A follower of the ideas of Patrick Geddes, he wrote the book the Culture of Cities.
a. Lewis Mumford
b. Patrick Lewis
c. Kevin Lynch
d. Peter Hall 
",A,a,Correct,1
 76 ,"As chief planner of New York City, he collaborated with Thomas Adams in the crafting of the ""Regional Plan of New York and its environs, 1922-1931"". He also conceived, and executed public works costing $27 billion between 1924 and 1968 and was responsible for virtually every parkway, expressway and public housing project in New York Metropolitan Area.
a. William Levitt
b. Fiorello La Guardia
c. Robert Moses
d. Warren Buffet ",C,c,Correct,1
 77 ,"In ""Death and Life of Great American Cities"" (1961) and ""Economy of Cities"" (1969), this planner maintains that 'diversity' promotes innovation among proximate firms and spurs the growth of cities, thus s/he advocated for heterogeneity, variety and mixture in the geographic clustering of firms as well as in the composition of city
districts and neighborhoods. 
a. Herbert Gans                     c. James Howard
b. Joel Garreau                     d. Jane Jacobs ",D,d,Correct,1
 78 ,"Coined many terms such as social capital"", ""mixed primary uses"", and ""eyes on the street"", which were adopted
professionally in urban design, sociology, and other fields.
a. Henry Wright                     c. Frank Lloyd Wright
b. Jane Jacobs                      d. Clarence Stein",B,b,Correct,1
 79 ,"Which book did Jane Jacobs write?
a. American Skyline
b. The Intelligence of Democracy
c. The Death and Life of Great American Cities
d. How the Other Half Lives ",C,c,Correct,1
 80 ,"What 1961 book critiques the planning profession and planners?
a. Image of the City, by Kevin Lynch
b. Carrying out the City Plan, by Flavel Shurtleff
c. How the Other Half Lives, by Jacob Riis
d. The Death and Life of Great American Cities, by Jane Jacobs 
",D,d,Correct,1
 81 ,"Considered as the Father of Wildlife Ecology, he advocated in 1948 a ""personal land ethic"" for humans to become ""stewards of the land"" and member-citizens of landcommunity rather than its conquerors or dominators.
a. Karol Wojtyla                          c. Henry Wright
b. Ralph Waldo Emerson             d. Aldo Leopold ",D,d,Correct,1
 82 ,"He prepared the Greater London Plan of 1944. He led the crafting of the regional 'Greater London Plan of 1944', he designed some of 30 post-war New Towns approved by the British Parliamentary, including Doncaster area and East Kent, in which he used open space as structuring element.
a. Clarence Perry                        c. Lewis Mumford
b. Patrick Abercrombie                d. Peter Hall ",B,b,Correct,1
 83 ,"This planner championed Regional Conservationism and was also responsible for the Appalachian Trajijhat stretched from Georgia to Maine.
a. Benton MacKaye
b. Clarence Perry
c. Clarence Stein
d. Lewis Mumford",A,a,Correct,1
 84 ,"The first modern Environmental Planner who introduced ecological planning primarily through map overlay.
He is the first modern environmental planner. He pioneered environmental impact statements, GIS use.
He is the first modern environmental planner. He pioneered environmental impact statements and the use of GIS based on his landmark book, ""Design with Nature,"" 'map overlay' to identify 'ecological constraints' devised in 1967 
a. Francis Stuart Chapin Jr.             c. William Levitt
b. Ian McHarg                                 d. George Zipf ",B,b,Correct,1
 85 ,"Her book paved the way for launching a global environmental movement.
a. Catherine Bauer Wurster            c. Rachel Louise Carson
b. Jane Jacobs                              d. Martha C. Nussbaum ",C,c,Correct,1
 86 ,"She was called a 'superwoman' who singlehandedly sparked environmental activism in the 1960s-70s with her research ('Silent Spring) on the biomagnifications of pesticides and chemicals in the human food chain: her advocacies bore fruit in the creation of US Environmental Protection Agency and Environmental Impact Assessment system in the 1970s.
a. Gro Harlem Brundtland
b. Catherine Bauer Wurster
c. Rachel Louise Carson
d. Martha C. Nussbaum 
",C,c,Correct,1
 87 ,"This author of 'Urbanism as a Way of Life' (1938) promoted urbanism as the prevailing way of life in contemporary society, and that density has an effect on peoples behaviour.
a. William Lever
b. Barry Parker
c. Louis Wirth
d. Raymond Unwin  ",C,c,Correct,1
 88 ,"Catherine Bauer Wurster was interested in what field?
a. Industry               c. Housing
b. Parks                  d. Environment ",C,c,Correct,1
 89 ,"He formulated the Basic Law of Ecology in layman's vernacular (National Geographic, 1970) as follows: ""Nature knows best"", ""There is no such thing as a free lunch."" Everything is connected to everything else.' 'We can never do merely one thing."" ""Everything goes somewhere."" ""There's no 'away' to throw to.""
a. John Holdren                                          c. Dr. Barry Commoner
b. Dr. Francis Stuart Chapin Jr.                   d. Dr. Eugene Pleasants Odum 
",C,c,Correct,1
 90 ,"Sierra Club"" is to John Muir, ""Audubon Society"" to John James Audubon, ""Living Earth"" to Eugene Pleasants Odum, ""Spaceship Earth"" to Kenneth Boulding, and ""Gaia, Mother Earth"" is to
a. James Lovelock
b. Henry David Thoreau
c. Delfin Ganapin
d. Arne Naess ",A,a,Correct,1
 91 ,"The French urban theorist who first said that each individual, regardless of personal, occupational, or economic ability of achievement, has to live in the city in a rights-based approach to urban development (right to the city, 1968).
a. Manuel Castells                        c. Andre Gunder Frank
b. Jean Jacques Costeau             d. Henri Lefebvre ",D,d,Correct,1
 92 ,"Which book was written by Charles E. Lindblom?
a. Urban Planning Society Policy
b. The Intelligence of Democracy
c. City Planning Process
d. The Urban General Plan ",B,b,Correct,1
 93 ,"Which of the following happened in 1909?
a. The San Francisco Plan was completed by Burnham
b. Burnham Park was completed
c. The First National Conference on City Planning
d. The City Plan of Manila was completed ",C,c,Correct,1
 94 ,"In 1970, what university offered the first academic degree course in city planning under its landscape architecture department, which program later spun off to become the first ever school of planning in 1929?
a. Oxford University
b. Harvard University
c. Cambridge University
d. University of Heidelberg ",B,b,Correct,1
 95 ,"The first State-wide land use plan in 1973 whihc defined Urban Growth Boundaries (UGBs) that separated urban and rural areas in order to limit growth within serviced areas and to preserve rural farmland for a timeframe of 20 years, took place in the State of                                                                                                               a. New York     b, Oregon     c. California       d. Florida",B,b,Correct,1
 96 ,"Which planning concept, first upheld by the US Supreme Court in the 1976 case of Penn Central Transportation Co. versus City of New York incorporates a market mechanism to mitigate whatever financial burden local law might have imposed on property?
a. Transfer of Development Rights
b. Planned Unit Development
c. Conservation Easements
d. Eminent Domain ",A,d,Wrong,0
 97 ,"In 1978, American Institute of Planners (established 1917) and American Society of Planning Officials (established 1934) combined to become the present-day
a. American Institute of Environmental Planning
b. Royal Institute of Town and County Planning
c. American Planning Association
d. Planning Society of America 
",C,c,Correct,1
 98 ,"In all but one of following cases, the US Supreme Court declared 'takings"" by government as illegal, as it upheld the Constitutional precept that ""private property shall not be taken for public use without just compensation""
a. Where a regulation is merely intended to prevent a nuisance and remove discomfort caused to the public
b. Where a regulation forced a landowner to allow someone else to enter onto the property
c. Where a regulation imposes burdens or costs on a landowner that do not bear a reasonable relationship to the impacts of the project on the community
d. Where government can equally accomplish a valid public purpose through less intrusive regulation or through a requirement of dedicating property
e. Where a landowner has been denied all economically viable use of the land ",A,a,Correct,1
 99 ,"In 1987, United States Supreme Court in the case· of Nollan versus California Coastal Commission ruled againstCalifornia which required Nollan to dedicate a public sidewalk easement across their beachfront property as a building permit condition, thus the Court formulated a principle for governments regulatory action that ""land use restrictions must be tied directly to a specific public purpose.""
a. Rough Proportionality
b. Calculated Authority
c. Rational Nexus
d. Calibrated Enforcement ",C,c,Correct,1
 100 ,"Because pre-Spanish aboriginal communities in the Philippines were relatively small and based on kinship relations, the most common practice of land tenure in precolonial society, wherein one would merely enjoy the'fruits' of land, was called
a. Primitive communism                   c. Usufruct
b. Islamic Feudalism                        d. Tenancy ",C,c,Correct,1
 101 ,"
During the period 1565 -1896, the urban control points designated by the Spanish colonial government were the
a. Alcaldias y pueblos
b. Barrios y sitios
c. Haciendas y villas
d. Cabeceras y poblaciones",D,d,Correct,1
 102 ,"This was the Spanish spatial strategy of forming dense settlements from scattered dwellings for purpose of greater military defense and political control - literally bringing together dispersed population within hearing distance of church bells - which policy was applied on most Spanish colonies from 16th to 18th centuries.
a. El Alcance del Camapanario
b. Presidio y Fortaleza
c. Reduccion
d. Evangelizacion 
",C,c,Correct,1
 103 ,"During the Spanish colonial period, there were four major forms of land tenure or land holding. Which one refers to the right of a servant of Spanish Crown' to collect tribute from residents of a territory without any ownership claim over that territory? ··
a. 'friar lands'                      c. 'haciendas'
b. 'encomiendas'                 d. 'townships' ",B,b,Correct,1
 104 ,"Which of the following are not among the four focal points of the town center or ""plaza complex""?
a. Buildings for gov't administration
b. Residential houses
c. Church or mosque
d. CBD or public market ",B,b,Correct,1
 105 ,"Under the plaza complex pattern described in 'Leyes de las lndias' (1573), what would be located next to each other around a Greco-Roman quadrangle of a Spanish colonial settlement?
                                                                                                                                                                a. Garden, fountains, monuments, statues, gallery and promenade
b. Governor's mansion, bishop's palace, general's manor, hacendero's villa, military garrison
c. Church, town hall, school, public market
d. Houses of· peninsulares, insulares, creoles, mestizos, principales and ilustrados ",C,c,Correct,1
 106 ,"The main plaza and smaller plazas should be surrounded by these principal building:
i. principal church;
ii. Royal and Town Council House;
iii. Custom-House;
iv. Arsenal;
v. Lodging house
                                                                                                                                                                a. i, ii & iii           b. ii, iii & iv           c. iii, iv & v          d. iv, v & i",A,a,Correct,1
