,SCORE,,,162,81%,
 21 ,"‘Sex ratio’ is defined as
a. The average number that men and women have sex per week within a marital relationship
b. The average number of boys versus girls in a typical family
c. The number of males in total population divided by the number of females multiplied by 100
d. The number of females in total population divided by the number of males multiplied by 100",C,c,Correct,1,
 22 ,"The declared population policy of the present Philippine government (2001 – 2010) aims to
a. Uplift ‘reproductive health’ of women as basis of population management
b. Support couples in making decisions on the timing, spacing and the number of children they want in accordance with their cultural and religious beliefs
c. Encourage use of contraception among married couples
d. Enforce one-child rule for all couples",B,b,Correct,1,
 23 ,"The central difference between a ‘census’ and a ‘survey’ is that
a. Census makes use of questionnaires while surveys make use of telephone interviews
b. Census involves complete enumeration while survey involves sampling
c. Census is done every 10 years while survey can be done by anyone anytime anywhere
d. Only qualified demographers and statisticians ought to conduct a census",B,b,Correct,1,
 24 ,"Because census age-groupings do not coincide with school-going ages for primary, secondary and tertiary schools, this method is used to disaggregate school-age population within a bracket into workers components
a. Sprague multiplier
b. Sprengler multiplier
c. Survival and dropout rate
d. Disambiguation",A,a,Correct,1,
 25 ,"This demographic concept refers to any age-group that is observed through time as its members are assumed, for the purpose of analysis, to go through roughly similar experiences
a. Cohort
b. Array
c. Cluster
d. Bracket",A,a,Correct,1,
 26 ,"Which method uses population of larger geographic area to ‘interpolate’ population of smaller geographic area?
a. Step down or area ratio method
b. Logistic method
c. Component method
d. Shift share",A,d,Wrong,0,
 27 ,"All of the following are of productive age, but only one is strictly counted as part of the ‘Labor Force’
a. 16 y/o who dropped out of school and became a houseboy
b. 67 y/o BSC degree-holder who owns and operates a neighbourhood variety or sarisari store
c. 20 y/o on his 3rd year of course, Bachelor of Science in Information Technology Mgt
d. 32 y/o virgin entering the nunnery as a religious novice",A,a,Correct,1,
 28 ,"In welfare-oriented societies, this is a shelter program designed to help homeless individuals and families progress towards self-sufficient in an environment of security and support, serving as a middle point between emergency shelter and permanent housing for a timeframe
of six months to two years
a. Mass housing
b. Transitional housing
c. Public row housing
d. Cooperative housing",B,b,Correct,1,
 29 ,"In the absence of an operational Local Housing Board, which unit ought to prepare the local shelter plan of an LGU?
a. Planning and Development Office
b. Local Development Council
c. Subdivision Homeowners Association
d. Association of Barangay Captains",B,a,Wrong,0,
 30 ,"As per HUDCC circular, a dwelling unit with total value of P 300,000 or less is called
a. Low-Cost Housing
b. Socialized Housing
c. Economic Housing
d. Gawad Kalinga",B,b,Correct,1,
 31 ,"As per condemned building is torn down to give way to an infill housing project to keep labor force in the inner city. Which of the following important HLURB parameters would have the least and most minor issues in comparative terms?
a. Past and present land use
b. Sustainability of terrain, environmental thresholds and natural geohazards
c. Demographic, socio-economic and political considerations
d. Locational motivation towards place or neighbourhood",A,d,Wrong,0,
 32 ,"According to Batas Pambansa 220m the affordability level of housing is based on that portion of total gross family income that an average household would regularly allocate for shelter, which is
a. 30%
b. 40%
c. 50%
d. 60%",A,a,Correct,1,
 33 ,"What is the minimum gross lot area of a row-house unit of socialized housing under Batas Pmabansa 220?
a. 32 sqm
b. 36 sqm
c. 18 sqm
d. 22 sqm",A,a,Correct,1,
 34 ,"What is the minimum gross lot area for a single-detached family dwelling unit of open market housing under PD 957?
a. 90 sqm
b. 100 sqm
c. 110 sqm
d. 120 sqm",D,d,Correct,1,
 35 ,"Lower than US standards by 10%, this is the ration between saleable and non-saleable portions of an open-market subdivision as required under PD 957 or the Subdivision and Condominium Buyers Protection Act
a. Minimum of 60% open space
b. Minimum of 50% open space
c. 60% saleable and 40% non-saleable
d. 70% saleable and 30% non-saleable",D,d,Correct,1,
 36 ,"Specific principle contained in RA 7279 UDHA that “developers of proposed subdivision projects shall be required to develop an area for socialized housing equivalent to at least 20% of total subdivision areas or total subdivision project cost, at the option of the developer, within the same city or municipality, whenever feasible” so that both government and market can jointly provide for the needs of lower-socio economic classes
a. Public Private Resources Exchange
b. Cooperative Housing Development
c. Balanced Housing Development 
d. Corporate Social Responsibility",C,c,Correct,1,
 37 ,"A house financing program of the National Home Mortgage Finance Corporation which “assists legally organized associations of underprivileged and homeless citizens to purchase and develop a tract of land under the concept of community ownership so that residents of blighted or depressed areas can own the lots they occupy, or where they choose to relocate to, and eventually improve their homes to the extent of their affordability”
a. Zonal Improvement Program
b. Slum Upgrading
c. Unified Home Lending Program
d. Community Mortgage Program",D,d,Correct,1,
 38 ,"Commonwealth Act 1983 punishes the dumping of any refuse, waste matter, or pollutive substances into rivers with at least 6 months imprisonment, while PD 296 of 1973 penalizes  illegal encroachment, improvement upon, occupation, or reclamation of any portion of rivers, creeks, esteros and drainage channels, that results in the constriction, partial or complete closure of said waterways, with a prison term of
a. At least 2 to at most 10 years
b. At least 1 year
c. 3 – 5 years
d. 5 – 7 years",A,b,Wrong,0,
 39 ,"By Philippine standard, how far should striptease joint, beerhouse, casa, or place of ill-repute be allowed to locate in relation to a school?
a. 50 meters away or more
b. 100 meters away or more
c. At least 200 meters away
d. At least 500 meters away",C,c,Correct,1,
 40 ,"By Philippine standard, how much open space should an ideal elementary or high school campus have, out of its total land area?
a. 60% or more
b. 50% or more
c. 40% or more
d. 30% or more",A,b,Wrong,0,
 41 ,"To compute for standard size of classroom, 1.40m2 bubble per pupil is multiplied by the ideal number of pupils per classroom as determined by DepEd. This use in design of average measurements of body and bodily movements in an application of field of
a. Biomechanics
b. Bionics
c. Physiometrics
d. Anthropometrics",D,d,Correct,1,
 42 ,"A University or Institution of Higher Learning with total enrolment of 10,000 or more should have a campus area of at least 7 hectares. What would be the required open space?
a. At least 2,500m2
b. At least 5,000m2
c. At least 10,000m2
d. At least 25,000m2",D,d,Correct,1,
 43 ,"By the Philippine standards, the minimum area for a tertiary-level general hospital with 300 beds is
a. 4.5 hectares
b. 3.5 hectares
c. 2.5 hectares
d. 1.5 hectares",B,b,Correct,1,
 44 ,"As per PD 856 or Sanitation Code of 1975 Sec. 13a, washing of clothes and bathing cannot take place within what distance from any public well or public source of drinking water?
a. 25 meters
b. 100 meters
c. 150 meters
d. 200 meters",A,a,Correct,1,
 45 ,"To this category belongs an LGU water system which has a source, a reservoir, piped distribution network, where homes have individual connections or household taps, and is appropriate in densely populated areas.
a. Level I
b. Level II
c. Level III
d. Level IV",C,b,Wrong,0,
 46 ,"This is a garbage recycling center in a village, or for a cluster of villages, which also serves as drop-off center for sorted wastes, composing center & processing center to consolidate segregated recyclables for remanufacturing
a. Barangay waste Recycling Center
b. Community Junk Shop
c. Waste Exchange Facility
d. Material Recovery facility",D,d,Correct,1,
 47 ,"Which environmental management practice by households is broadest of the four enumerated below?
a. Re-use
b. Reduce
c. Recycle
d. Reform Lifestyle",D,d,Correct,1,
 48 ,"Which environmental management practice by firms is most encompassing of the four enumerated below?
a. ‘Dispense and Dilute’
b. End-of-Pipe Treatment
c. Product Life Cycle Assessment
d. Factory waste-exchange",C,b,Wrong,0,
 49 ,"Apart from taxes, incentives and property rights approaches, the major approach of the National Government to manage the environment by means of policies, rules, and standards is called—
a. Coerce and Compel
b. Contain and Constrain
c. Command and Control
d. Cash and Checks",C,c,Correct,1,
 50 ,"Under International Standards Organization ISO 14001 (1996) for business organizations, the principle that no money should be lent or extended to any firm that has not proven itself to be environmentally responsible, is contained in which goal of a company’s ISO 14001
Environmental Management System?
a. To reduce overall costs
b. To attract more ethnical investment
c. To gain or retain market share via a green corporate image
d. To reduce prosecution risks and insurance risks",B,b,Correct,1,
 51 ,"RA 8371 IPRA grants to Indigenous Cultural Communities and Indigenous Peoples the right to own and possess their tribal lands as a limited form of private ownership that does not include the right to alienate the same lands
a. Regional Autonomy
b. Ancestral Domain
c. Self-Reliance
d. Tribal Ownership",B,b,Correct,1,
 52 ,"Of the following forms of evidence that Indigenous Peoples can use to claim aboriginal land, which category of evidence needs substantial assistance from a planner with extensive background in anthropology?
a. Tax declarations and proof of payment of taxes’ survey plans and/or sketch maps;
b. Old improvements such as planted trees, stone walls, rice fields, water system, orchards, farms, monuments, houses and other old structures, or picture therefore;
c. Historical accounts, Spanish Documents, ancient document;
d. Genealogical survey; written and oral testimonies of living witnesses made under oath; written records of customs and traditions
e. Burial grounds or pictures thereof; religious sites and/or artifacts in the area",D,b,Wrong,0,
 53 ,"Under RA 1974 “Wildlife resources Conservation & Protection Act”, killing of endangered wildlife is unlawful except in 5 cases. Which of the following might warrant and act of killing by Palawan Tribal leaders after they’ve gathered proof that they had lost 3 children to river crocodiles which had escaped from a science-oriented crocodile farm?
a. “when killing is done as part of the religious rituals of established indigenous cultural communities”
b. “when the widelife is afflicted with an incurable communicable disease”
c. “when it is deemed necessary to put an end to the misery suffered by the widelife”
d. “when it is done to prevent imminent danger to the life or limb of a human being”
e. “when the widelife is killed or destroyed after it has been used in authorized research or experiments”",D,d,Correct,1,
 54 ,"Under RA 6930 of 1990, this is a duly registered association of persons, with a common bond of interest, voluntarily joined together to achieve a common social or economic end, making equitable contributions to the capital required and accepting a fair share
a. People’s Organization
b. Credit Union
c. Cooperative
d. Micro-finance
e. Grameen Bank",C,c,Correct,1,
 55 ,"According to RA 9710 Magna Carta of Women of 2009 Sec. 4g, this refers to policies, instruments, programs, service and action that address the disadvantage position of women in society by providing preferential treatment and affirmative action such as measures aimed
to accelerate de facto quality between men and women.
a. Sexual Equality
b. Gender equity
c. Women’s Liberation
d. Gender Parity
e. Feminist empowerment",B,b,Correct,1,
 56 ,"The main economic theory that underlies both CBA and EIA is that an economic activity or project should not make one person better off by making someone else worse off, such that gains in producer surplus or consumer satisfaction to some firms or individuals do not simultaneously impose losses on others.
a. Conrado Gini Coefficient
b. Lorenz Curve
c. David Ricardo’s Theory of Value
d. Pareto Optimality",D,d,Correct,1,
 57 ,"A school of thought that holds that the measure of efficiency is people’s well-being and such is attained if the total gains among those who benefit exceed the total losses of those adversely affected by any economic activity.
a. Keynesian economics
b. Welfare economics
c. Neo-classical economics
d. Marxist economics",b,b,Correct,1,
 58 ,"This refers to the collaborative process by which government, businesses, community organizations, etc at the local level engage one another to improve economic well-being of their community, enhance business climate, increase income opportunities, and sustainably utilize human, natural, infrastructural, and institutional resources.
a. Project Development Planning
b. Investment Coordination
c. Economic Planning
d. Industrial Convergence",C,c,Correct,1,
 59 ,"According to economists Theodore Schultz, Jacob Mincer, and Gary S. Beker, this collective term for people’s ‘embodied” assets such as knowledge, skills, good health, attitudes and entrepreneurial qualities, determines how a local community or region absorbs new technologies, expands productive capacity, and generates own progress.
a. Seven domains of intelligence
b. Human Development Index
c. Managerial Aptitude
d. Human Capital",d,d,Correct,1,
 60 ,"Among the earliest models of environmental economics is the 1968 formula “l = P x A x T” (where ‘I=environmental impact’, ‘P=population’, ‘A=affluence’, ‘T=technology’) which states that simultaneous growth in population, affluence, consumer behaviour, and technology are jointly responsible for environmental problems
a. Paul Ehrlich
b. Dr. Barry Commoner
c. Dr. Francis Stuart Chapin Jr.
d. Dr. Eugene Pleasants Odum",A,c,Wrong,0,
 61 ,"According to Nobel Laureate Simon Kuznets, the three ways to determine national macroeconomic accounts (GNP, GDP, NNI) are” valued added”, “income approach, “and “expenditure approach”. Which of the following is expenditure’ approach?
a. Final output of Primary sector +Secondary sector Tertiary sector etc
b. National Income +(Taxes-Subsidies)+Depreciation etc
c. Consumption+ Investment Government expenditure+(Export minus Import)
d. Consumption + Taxes + FDI+ Balance of Payments + NFIA",C,a,Wrong,0,
 62 ,"The declared strategy of the national government since the 1980s to promote greater complementary between agriculture and industry sectors and between urban and rural places is called
a. Agropolitan Development
b. Export Oriented Industrialization (EOI)
c. Countrywide Urban-Rural Linkages (CURL)
d. Balance Agro-Industrial Development Strategy (BAIDS)",D,c,Wrong,0,
 63 ,"As conceptualized in 1989, the private-led “Agro-Industrial Development Area (AIDA)” scheme analogous to Japan’s “One Town One Product” would cluster several villages to carry out the following components except:
a. Family farm school or folk school
b. Small-scale agro-processing industries
c. Rural Development Center
d. Roll-on roll-off (RORO) port",D,a,Wrong,0,
 64 ,"In the 21st century , many economically-poor but naturally-blessed countries have focused on flagship program of the “Pleasure Economy” or the “Experience Economy” through such  activities as medical tourism, ecotourism, adventure tourism, sports, arts, “high-touch” activities, high fashion or haute-couture, etc which are together called
a. Tertiary Service Sector
b. Quatemary Service Sector
c. Quinary Service Sector
d. Septuagesimal Services Sector",C,c,Correct,1,
 65 ,"Under RA 9593 Tourism act of 2009, ecotourist spots as well as historic cultural, scenic and adventure sites are subsumed under the new concept of
a. Sustainable Tourism Districts
b. Tourism Enterprize Zones
c. Bio-economic regions
d. Ecozones",B,d,Wrong,0,
 66 ,"Under RA 9593 Tourism Act of 2009, Heritage Conservation in the Philippines shall be supported by not less than 5% of travel tax collections accruing to --
a. Philippine Retirement Authority
b. Tourism Infrastructure & Enterprize Zone Authority
c. Tourism Promotions Board
d. Philippine Conventions & Visitors Corp’n",B,d,Wrong,0,
 67 ,"Basic principle of Heritage Conservation which holds that historic structures and treasures and treasures should be utilized by preserving as much of their exteriors as possible while adopting more modern uses in their interiors –
a. Total Makeover
b. Reconfigurative Renovation
c. Converted Property
d. Adaptive Re-use",D,d,Correct,1,
 68 ,"According to RA 9072 National Caves and Cave Resources Protection and Management Act of 2002, this “refers to a cave which contains materials possesses features that have archaeological, cultural, ecological historical or scientific value as determined by the DENR in coordination with the scientific community and the academe”
a. Stalactite
b. Speleothem
c. Speleogem
d. Significant Cave",D,c,Wrong,0,
 69 ,"According to RA 7916 Sec 4, this refers to a tract of land of at least 50 contiguous hectares which is subdivided and developed according to a comprehensive plan under a unified continuous management and with provisions for basic infrastructure and utilities, with or without pre-built standard factory buildings (SFBs)
a. Manufacturing hub
b. Regional industrial center
c. Export processing zone
d. Industrial estate",d,d,Correct,1,
 70 ,"Under RA 7916 Sec 10, what is the minimum investment of a foreigner who can be granted ‘permanent resident status’ within a Philippine ecozone, together with spouse and children below 21 years of age, who shall all have freedom of ingress and egress to and from the Ecozone without any need of special authorization from the Bureau of Immigration?
a. US$ 150,000
b. US$ 300,000
c. US$ 1,000,000
d. US$ 2,000,000",A,b,Wrong,0,
 71 ,"“Taxation based on carbon produce” by 2077 Nobel Prize Laureate Albert Arnold Goreseeks to compel companies to internalized the externalities and to plan and design production with Nature in mind; it will also tax rich, conspicuous consumers more than low-consumption groups. This tax is described by economists as
a. Aggressive         b. Regressive         c. Proactive        d. Progressive              e.Retroactive",D,d,Correct,1,
 72 ,"According to Francois Perroux, this phenomenon in economics refers to a propulsive or expanding firm/industry, or cluster of such firms/industries, , which induces development of other firms/industries that are technically and functionally related to it, and stimulates prosperity of the locality or region through the flow of goods and services
a. Technopole
b. Ecozone
c. Market Town
d. Growth Pole",D,d,Correct,1,
 73 ,"The saying “the rich get richer and the poor get poorer” is related to concepts of ‘spread’ and ‘backwash’ in a regional economy that were first articulated by this Nobel Prize laureate for economics
a. Milton Friedman
b. Paul Krugmann
c. Robert Solow
d. Gunnar Myrdal",D,d,Correct,1,
 74 ,"The following variables except one were used by Alfred Weber, August Losch, Walter Isard, Melvin Greenhut and others, in so-called classical theories of industrial location
a. The costs of distributing and marketing finished goods to the end-user
b. Wages of labor
c. The costs of transporting raw materials to the factory
d. Perks and privileges for managers",D,d,Correct,1,
 75 ,"When a firm locates close to sources of natural resources such as Pittsburg or Ruhr valley, it is called “material-oriented”, when a firm locates close to where there are large population such as Shanghai or Tokyo, it is called –
a. Customer-friendly
b. Client-centered
c. Demographically-responsive
d. Market-oriented",D,d,Correct,1,
 76 ,"According to Walter Isard, firms or industries that are different to the physical attributes of geographic location to carry out profitable business are called:
a. Vagabond
b. Wanderlust
c. Itinerant
d. Footloose",D,d,Correct,1,
 77 ,"An American car company breaks up its production process because of high wage cost of unionized labor in Detroit and moves its manufacturing plants to China where labor costs are low and sources of refined metals are closed by. What theory of firm location likely underpins this decision?
a. Market-oriented Approach by august Losch
b. Least cost approach by Alfred Weber
c. Profit-maximizing approach by Water Isard
d. Organizational theory (Segmentation & Mergers)",B,b,Correct,1,
 78 ,"A Swedish computer company relocates to Silicon Valley, California, where despite high wage costs, IT companies boast of highest IQ points per square-meter of floor space, and have vibrant linkages with top-notch universities to create state-of-the-art technologies. What theory of firm location is operational here?
a. Theory of Human Capital
b. Profit Maximizing Approach
c. Satisficing Theory
d. Behavioural Theory",A,a,Correct,1,
 79 ,"Despite global economic recession and decline of demand for luxury goods, a watch company decides to stay put in Switzerland because of its secure market niche and proven track record producing Rolex timepieces. What theory of firm location is likely to work here?
a. Comparative Advantage
b. Profit Maximizing Approach
c. Satisficing Theory
d. Behavioral Theory",A,c,Wrong,0,
 80 ,"Cognitive Theory of Location which include perception, intuition, values and attitudes, underlie locational behavior and these account for imperfect decisions, meaning that industrial locators do not necessarily aim for the ‘best possible’ set-up to maximize profits but can be content with ‘sun-optimal’, ‘good-enough’ but ‘adequate’ decisions.
a. Cognitive Theory of Location
b. Behavioral Theory of Location
c. Urban Land Nexus Theory
d. Organizational Theory (Segmentation & Corporate Mergers)",B,b,Correct,1,
 81 ,"If a firm subscribe to the Institutional Theory of firm location as shaped by neo-liberal economics, the firm will logically consider which of the following factors the least:
a. Costs of doing business (tax and non-tax costs including graft and corruption)
b. Stability of government and predictability of its policies (fair play, level-playing field)
c. Peace and order and the physical safety of employees
d. Leisure opportunities such as golf courses for the managerial elite and their families",D,d,Correct,1,
 82 ,"""Anything that is available to rivals elsewhere is essentially nullified as a source of competitive advantage for a firm’s competitive edges lies in something very local – innovation in strategy, innovation in know-how, in relationships, in motivation”.
a. Dr. Michael Porter
b. Peter Drucker
c. Sir Peter Hall
d. Dr. Mark Gottdeiner",A,a,Correct,1,
 83 ,"If the location quotient (LQ) of an industry in the town of OPQR is greater than one,it suggests that
a. The distribution of industry in the territory is very
b. The distribution of industry in the territory is dispersed
c. The distribution of industry in the territory does not deviate much from the distribution of other industries.
d. The territory has a larger share of the industry relative to its reference region or larger territory.",D,d,Correct,1,
 84 ,"The town of STUV has 2 times more people engaged in agriculture as percent of total labor force and 2.5 times more output per hectare of Riceland than the national average. This means that –
a. The town’s people are better-fed because of food surplus
b. Town has backward economy but blessed with soil fertility and hard-working labor
c. The town has more farm-workers and hence lower level of education and lower level of education and lower level of literacy
d. The town is more agriculturally developed than the ‘average’ municipality",D,d,Correct,1,
 85 ,"This refers to a set of accounts, usually in monetary figures, prepared for an economy and widely used in the analysis of inter-industry relationships within an economy—whether local, regional or national.
a. Discounted cash flow tables
b. Input-output model
c. Economic base model
d. Inter-area analysis",B,b,Correct,1,
 86 ,"Republic Act 9501 dated May 23, 2008 refined “medium-scale” enterprise as follows
a. Number of employees between 100 to 199 with a capitalization of 15 million to 100 million
b. Number of employees between 200 with a capitalization of more than 100 million
c. Number of employees between 10 to 99 with a capitalization of 3 million to 15 million
d. Number of employees between 1 to 10 with a capitalization of 1.5 million to 3 million",A,a,Correct,1,
 87 ,"This refers to a “set of specific activities carried out by a team of an executing agency for a fixed/limited period of time in a defined area of operation using limited resources in order to achieve specific outputs/objectives for a particular target group.” (NEDA)
a. Memorandum of Undertaking
b. Capital Venture
c. K.R.A
d. Project",D,d,Correct,1,
 88 ,"“Financial Analysis” uses fair market prices while “Economic Analysis” uses—
a. Factory prices
b. Shadow prices
c. Nominal prices
d. Deflationary and inflationary prices",B,b,Correct,1,
 89 ,"Which part of feasibility study aims to determine a project’s desirability in terms of its net contribution to the overall welfare of the locality, region or country as a whole?
a. Sensitivity Analysis
b. Cost-revenue Analysis
c. Cost-effectiveness Analysis
d. Economic Analysis",D,d,Correct,1,
 90 ,"Related to time value of money(TVM),this refers to the rate used to adjust the future streams of costs and benefits into their present value, taking into account time preference, opportunity cost of capital, externalities from currency and exchange, risk, and uncertainly.
a. Inflation rate
b. Discount rate
c. Investment rate
d. Depreciation rate",B,b,Correct,1,
 91 ,"Which tool is used to extrapolate the demand for a project/output, assuming present conditions or current trends continue?
a. Supply chain analysis
b. Shift-share analysis
c. Cost-revenue analysis
d. Linear regression analysis",D,b,Wrong,0,
 92 ,"A specific tool of analysis developed as a way of choosing between alternative planning options by ensuring the optimum allocation of available resources and maximum welfare to the community
a. Sensitivity analysis
b. Cost-benefit analysis
c. Cost-revenue analysis
d. Welfare policy analysis",B,b,Correct,1,
 93 ,"Which measure of profitability places emphasis on the number of years it takes to recover all the capital invested on a project?
a. Assets turnover
b. Break-even-point
c. Accounting profit before taxes
d. Payback period",D,d,Correct,1,
 94 ,"The rule of thumb for deciding projects to pursue based on the benefits –cost(B/C) ratio criterion?
a. Accept projects with B/C ratio less than zero
b. Accept projects with B/C ratio equal or above zero
c. Accept projects with B/C equal or greater than one
d. Accept only projects with B/C ratio above five",C,C,Correct,1,
 95 ,"It is the measure of the earning power of investment from the perspective of owner, investor, borrower or lender and is defined as the discount rate that equates the present values of the project’s benefits and cost such that the NVP is equal to zero.
a. Internal rate of return
b. Return on equity
c. Dividends
d. Accounting profit before taxes",A,A,Correct,1,
 96 ,"The best measure of a project’s economic worthiness from the perspective of the public/society/government which serve as basis for determining project acceptability is called
a. Net present value
b. Break-even point
c. Internal rate of return
d. Surplus value",A,A,Correct,1,
