,1000 Questions,,,1,20%
 16 ,"The phenomenon of 'urban primacy' mostly In Third World countries wherein a single metropolis comers a disproportionate share of a country's population, resources, and Investments by reason of historical or political precedence, or as a result of foreign colonial influence, is also called 'Manila imperialism"" in the Philippines. 
(A) it is desirable because of the efficient use of space and economies of scale. 
(B) ii proves that benefits from agglomeration outweigh the disbenefits from congestion and overconcentration 
(C) it demonstrates that Third World countries remain as colonies of Western imperialist powers. 
(D) it shows polarization within a country and siphoning off of economic assets and human talent from 'hinterland'",D,,,
 17 ,"The twin strategy of 'concentrated decentralization' and 'industrial dispersal' to correct urban primacy and inter-regional divergence in the Philippines was begun under the administration of President 
(A) Ferdinand E. Marcos 
(B) Corazon C. Aquino 
(C) Fidel V. Ramos 
(D) Gloria M. Arroyo",A,,,
 18 ,"Dr Edward L. Glaeser of Harvard University (1995, 2003) correlates 'urban development' with democratization in the following observations. Which statement pertains the most to so-called 'annihilation of space' in urban areas?
(A) information travels at high-speed in cities; transactions between producers and consumers are faster 
(B) because people in cities have high level of awareness, it is much harder for rulers to be despotic or tyrannical 
(C) ineffective governments find it much harder to ignore mass poverty & other social problems in cities than in country 
(D) Revolutions, labor uprisings, and riots are usually born and bred in cities.",A,,,
 19 ,"This school of thought maintains that cities are 'theaters of capital accumulation,' largely a consequence of class-based struggle among groups for strategic dominance and control of surplus. Such conflict is usually won by the rich and powerful through agents of capital such as multi-national corporations which use the city to amass wealth by raising property values through commercialization. gentrification, manipulation, and land speculation. 
(A) Capital Theoretic Model 
(B) Political Economy 
(C) Eco-Capitalism 
(D) Eco-Anarchism",B,,,
 20 ,"This school of thought describes a borderless global economy characterized by free trade and free movement of capital wherein nation-states would have 'lean and mean' governments which pursue policies of liberalization, deregulation, privatization, de-bureaucratization, 'unbundling,' 'de-coupling', and similar structural adjustments. 
(A) World Systems Theory 
(B) Natural Capitalism 
(C) Neo-Liberalism 
(D) Liberal Democracy",C,,,
 21 ,"Related to Thomas Malthus' concept of 'k' as the population size constrained by whatever resource is in shortest supply, this principle refers to ""the maximum population of a given species that can be supported indefinitely in a defined habitat without causing negative impacts that permanently impair the productivity of that same habitat.
(A) limits to growth 
(B) tipping point 
(C) range and threshold 
(D) carrying capacity",D,,,
 22 ,"He formulated the Basic Laws of Ecology in layman's vernacular (National Geographic, 1970) as follows: ""Nature knows best: "" ""There is no such thing as a free lunch."" ""Everything is connected to everything else."" ""We can never do merely one thing."" ""Everything goes somewhere."" ""There's no 'away' to throw to."" 
(A) John Holdren 
(B) Or. Francis Stuart Chapin Jr. 
(C) Dr. Barry Commoner 
(D) Dr. Eugene Pleasants Odum",C,,,
 23 ,"According to Dr Garrett Hardin. in an open access regime without defined property rights, individuals enjoy free unlimited access to natural resources and right to use without exclusion; each individual is motivated to maximize his or her own benefit from exploitifl9 the resource. When no individual has adequate incentive to conserve the public resource, the resource win likely become overused and overexploited.
(A) The Stewardship of Nature 
(B) Communitarian Paradox 
(C) Fencesitter’s Dilemma 
(D) Tragedy of the Commons",D,,,
 24 ,"In contrast to the environmentalism which highlights 'community' and 'communitarian' solutions, this type of environmentalism centers on respect for all life-forms in an atomistic or species-centered manner, such that humans would be on equal moral looting with sentient animals like pets and non-sentient organisms like plants, insects, etc.
(A) Eco-centrism
(B) Bio-centrism 
(C) Anthropo-centrism 
(D) Geo-centrism",B,,,
 25 ,"They are inveterate optimists who believe that “necessity is the mother of invention” and hence they assert that all environmental problems can be solved by ever-advancing science and technology, and limitless human knowledge. 
(A) Cornucopians 
(B) Soroptimists 
(C) Utopians 
(D) Dystopians",A,,,
 26 ,"In what sense does 'professional planning' differ from 'generic,' 'common-sensical,' or 'everyday' planning? 
(A) There is no difference because planning is 'ubiquitous' and can be done by anyone, anytime, anywhere. 
(B) Professional planning has scope and goals that transcend one person or group while generic planning is essentially action-planning on familiar problems with much latitude for personal flexibility. 
(C) Professional planning examines only the ' natural environment' while Business Planning considers both ""policy environment and 'market environment: 
(D) Object of Professional Planning is ""society and nature"" while beneficiary or everyday planning is only 'oneself.'",B,,,
 27 ,"This type of planning has also been called ""synoptic,"" 'static', 'normative,' and 'Utopian', because it assumes a priori that professional planners have the intelligence, noble intentions, and expertise to synthesize extensive data, analyze a relatively predictable world, and decide rightly on crucial questions or broader public interest. 
(A) equity or activist or advocacy planning 
(B) disjointed incrementalism
(C) traditional planning or command planning 
(D) rational-comprehensive-adaptive planning",D,,,
 28 ,"The main contribution of Norbert Weiner’s 'Cybemetics' to the Systems Theory of planning is the principle that planning should be – 
(A) cyclical, iterative, and sett-correcting 
(B) mechanistic 
(C) exhaustive 
(D) mathematical",A,,,
 29 ,"The development of planning theory after World War II as influenced by the schools of policy planning, advocacy or equity planning, transactive planning, and radical/critical planning has emphasized the core principle that 
(A) A plan should be a clear, concise, and user-friendly document 
(B) A plan can only indicate piecemeal and incremental changes 
(C) Planning process is as important as planning output 
(D) The poor and the marginalized always know what is best for society.",C,,,
 30 ,"These thinkers started the “school of transactive planning,' which later advocated the radical / critical theory that planning should smash myths and mobilize people to change structures of domination and subjugation in society 
(A) Francis Stuart Chapin, George Chadwick 
(B) Norman Krumholtz, John Friedmann
(C) Paul Blumberg, Carole Paterman, Paul Bernstein 
(D) Charles Lindbloom, Robert Dahl, Mel Webber",B,,,
 31 ,"Allocative' or 'regulatory' or 'policy planning' in the tradition or Herbert Gans and TJ Kent is concerned with solving chronic problems or society by allocating resources efficiency and enacting laws, rules and standards. It is therefore  closest to which planning approach?  
(A) rational-comprehensive 
(B) traditional or master planning 
(C) strategic planning 
(D) communicative planning",A,,,
 32 ,"Strategic Planning as described by Henry Mintzberg is called 'Innovative Planning' for following reasons except one
(A) because, as in strategies and tactics, a plan has to be calculating and even Machiavellian 
(B) because it seeks to introduce a novel goal, product process, or pattern 
(C) because it centers on organizational 'fitness' to create or shape change 
(D) because it mobilizes the whole organization to move towards a new direction",A,,,
 33 ,"According to Kart Wittfogel's 'Hydraulic Civilization' model of urbanization (1957), what would explain the emergence in Antiquity (4000-200 BCE) of the earliest cities also known as 'necropolis' and temple-towns? 
(A) Irrigation for farms revolutionized both economic production and social organization as It resulted In food surplus, which necessitated large storage warehouses in preparation for war or drought 
(B) Strongman rule was facilitated by the need to distribute water for irrigation and to ration food 
(C) With abundant food, classes of non-farming workers emerged which eventually led to “division of labor” and “occupational specialization.”
(D) All of the above",D,,,
 34 ,"For his grid-iron design of ancient Greek settlements such as Priene, Piraeus and Rhodes. he is acknowledged as the Father of Town Planning in Western civilization. 
(A) Alexander The Great 
(B) Socrates 
(C) Hippodamus of Miletus 
(D) Aristotle",C,,,
 35 ,"What theory of urbanization by RL Cameiro (1970) best explains 'Fortress Cities' during Dark Ages 476-800 AD? 
(A) Urbanization was hastened by cultural exchange resulting from overland trade caravans. 
(B) People settled together around strategic places which could directly benefit from maritime trade. 
(C) Strongman rule was necessitated by the need to distribute water for irrigation. 
(D) After the collapse of army-based imperial government, people had to congregate in cities for better protection from plunderers and marauders.",D,,,
 36 ,"2,500 'Cathedral Towns' during Middle Ages showcased the ascendancy of the Church in all affairs whether religious or secular, and these medieval cities displayed the following physical characteristics except one
(A) narrow, twisty, irregular streets radiating from the main center 
(B) overcongestion was common; infrastructure for garbage and sewage was absent; sanitation was poor. 
(C) vulnerable to epidemics such as bubonic plague, cholera, typhoid fever, scarlet fever, etc. 
(D) loss of privacy due to overcrowding resulted in loose sexual morals of the population",D,,,
 37 ,"Except for one city below. 'Mercantile Cities' during the Renaissance period served as trading ports for overseas commerce and played key role in the accumulation of gold and silver by European monarchies and principalities. 
(A) Venice, Italy 
(B) Amsterdam. The Netherlands 
(C) Dortmund, Germany 
(D) Lisbon, Portugal",C,,,
 38 ,"Before the rise of 'scientific socialism' based on concept of class-struggle, 'normative or Utopian socialism' based on Christian values was showcased by this philanthropist in New Lanark. Scotland (1799) where excllent working conditions, decent housing, and cheap services for the working class increased productivity and profit. Its founder was later acknowledged as the father of the cooperative movement. 
(A) Robert Owen 
(B) John Cadbury 
(C) James Buckingham 
(D) Sir Christopher Wren",A,,,
 39 ,"Recognized as 'father of landscape architecture; he also began the 'Parks and Conservation Movement in the United States which advanced the idea that city parks and greenways can structure urban space, stimulate mixed uses, dampen class conflict, heighten family and religious values, and serve as aid to social reform.
(A) Frederic Law Olmsted Sr 
(B) John Muir 
(C) Gifford Pinchot 
(D) George Perkins Marsh",A,,,
 40 ,"He wrote the famous book 'Garden Cities of Tomorrow' (1902) and became a most influential thinker with his effort D to combine the best features of 'town' with the best features of 'country' as shown in his diagram of three-magnets. 
(A) Sir Frederic Osborn 
(B) Sir Ebenezer Howard 
(C) Sir Patrick Leslie Abercrombie 
(D) Sir Raymond Unwin",B,,,
 41 ,"The Garden City Movement in the United Kingdom directly addressed large-scale problems caused by the  
(A) French Revolution 
(B) World Wars I & II 
(C) Industrial Revolution 
(D) Holocaust",C,,,
 42 ,"The Garden City Movement shaped the British policy of 'urban containment"", with following features, except one
(A) greenbelts and clear edges for al cities 
(B) mass transit to link 'mother city"" with 'garden cities'
(C) homestead of about one acre per family 
(D) preservation of more farmland & open space",C,,,
 43 ,"In 1907, what university offered the first academic degree course in city planning under its landscape architecture department which program later spun off to become the first ever school of planning in 1929? 
(A) Oxford University 
(B) Harvard University 
(C) Cambridge University 
(D) University of Heidelberg",B,,,
 44 ,"Considered as the 'Father of City Planning of America."" he also prepared plans for the City of Manila and the City or Baguio from 1903 to 1911. 
(A) John Hay 
(B) William Howard Taft 
(C) Robert Kennon 
(D) Daniel Hudson Burnham",D,,,
 45 ,"This was the movement that stressed the design of settlements according to the principles or 'grandeur, exuberance, monumentality, drama and tension, cohesiveness, and symmetry' as demonstrated in the planning of Washington DC. Paris, Chicago, San Francisco, among others:
(A) City Beautiful Movement 
(B) City Functional Movement 
(C) City Efficient Movement 
(D) New Towns Movement",A,,,
 46 ,"The US Supreme Court's decision in 1926 to uphold the power of an LGU to regulate land use through ordinance in the landmark case of ""'Village of Euclid vs. Ambler Realty Company' is reckoned as the watershed moment for 
(A) City Beautiful Movement 
(B) City Functional Movement 
(C) City Efficient Movement 
(D) Regional City Movement",B,,,
 47 ,"The major objective of Le Corbusier's (Charles-Edouard Jeanneret) 'Radiant City"" design meant for 3 million people consisting of “uniform 60-storey tower-blocks set in a huge park' was to: 
(A) use high-rise structures to improve safety of people and security of vital institutions 
(B) increase city density by building high on a small part of land 
(C) increase the public's enjoyment of environmental amenities and viewscapes from varying heights 
(D) capture the retail market which justifies why prices are necessarily high in central locations or CBDs",B,,,
 48 ,"Which of the following valid critiques of Le Corbusie’s (Charles-Edouard Jeanneret) modernist city design pertains to the so-called 'spatial paradox'? 
(A) Architectural determinism or the belief that physical design and visual aesthetics are sufficient to address the basic problems of population. 
(B) Devoid or thorough studies on demographic, social, economic, and transport aspects 
(C) Goal to decongest the city by increasing congestion at its core. 
(D) Rejection of historic precedents as inspiration for overall design 
(E) Lack or human-scale as uniform tall structures tend to be disorienting while extremely-vast open spaces look inhospitable to humans",C,,,
 49 ,"Don Arturo Soria y Mata, a Spanish engineer, suggested that the logic of utility connections (electricity, sewer, telephone lines, gas and water pipes,) should be the basis of city lay-out; thus he considered the impact of technology in his concept of an elongated urban from running from Cadiz Spain up to St. Petersburg, Russia. 
(A) Ciudad Conectada 
(B) Ciudad Elongada 
(C) Ciudad Lineal 
(D) Ciudad Larga",C,,,
 50 ,"Tony Gamier conceptualized a lush green city (1917) of about 35,000 inhabitants where “man would rule by himself,"" thus there would be no police, no churches, no rigid forms of social control in this Utopian place complete t with landscaped homes, factories, trade schools, transport and leisure facilities.  
(A) broadway city 
(B) broadacre city 
(C) eco-city 
(D) linear industrial city",D,,,
 51 ,"Which of the following features does not describe the New Town concept of Clarence Stem as showcased at Radburn, New Jersey; Greenbelt, Maryland; Greenhills, Ohio: Greendale, Wisconsin; and Greenbrook NJ? 
(A) huge manufacturing firm at the center 
(B) separation between pedestrian traffic and motor traffic
(C) green spaces which are interconnected 
(D) series of superblocks",A,,,
 52 ,"The New Towns Movement of 1920s and Frank Lloyd Wright's decentralized urban design (1932) might have contributed to scattered development but the main reason for USA""s suburban sprawl after World War II was 
(A) rapid fall of real estate prices in the countryside due to financial meltdown from sub-prime lending 
(B) increased value of rural land due to Hoover’s Interstate Highway Act of 1956 which funded federal highways and freeways across many states 
(C) the widespread use of commuter trains and monorail 
(D) the popularity of automobile as means of transportation",D,,,
 53 ,"The planner who said that 'survey' is a requisite for planning in the famous framework 'Survey-Analysis-Plan' was
(A) Demogriphus 
(B) Herodotus 
(C) Geddes 
(D) Pericles",C,,,
 54 ,"He proposed the 'neighborhood unit' (1929) as a sell-contained 'garden suburb' bounded by major streets, with shops at intersections and a school in the middle; its size would be defined by school's catchment area with a radius of quarter-mile or 402 meters. This incorporated Garden City ideas & attempted at some kind of social engineering. 
(A) Clarence Perry 
(B) Clarence Stein 
(C) Clarence Thomas 
(D) Clarence McKay",A,,,
 55 ,"Social Engineering' refers to 
(A) designing and building social facilities and infrastructure for the public 
(B) manipulating age, sex, ethnicity, and other demographic factors of social groups 
(C) implementing service-oriented social programs to marginalized social sectors 
(D) changing values, mindsets, habits, and behaviors of people towards desired societal goals",D,,,
 56 ,"A Scottish biologist who authored the masterpiece entitled ""Cities In Evolution"" (1915) and who coined the terms 'city-region' and 'conurbation' is acknowledged as the 'father of regional planning' 
(A) Sir Patrick Leslie Abercrombie 
(B) Sir Patrick Geddes 
(C ) Lewis Mumford 
(D) Sir Raymond Unwin",B,,,
 57 ,"She was called a 'superwoman' who singlehandedly sparked environmental activism in the 1960s-70s with her research on the biomagnification of pesticides and chemicals in the human food chain; her advocacies bore fruit in the creation of US Environmental Protection Agency and Environmental Impact Assessment system in the 1970s. 
(A) Gro Harlem Brundtland 
(B) Catherine Bauer Wurster 
(C) Rachel Louise Carson 
(D) Martha C. Nussbaum",C,,,
 58 ,"Sierra Club' is to John Muir, 'Audubon Society"" to John James Audubon, ""Living Earth' to Eugene Pleasants Odum, 'Spaceship Earth' to Kenneth Boulding, and 'Gaia, Mother Earth' is to 
(A) James Lovelock 
(B) Henry David Thoreau 
(C) Delfin Ganapin 
(D) Ame Naess",A,,,
 59 ,"If 'Earth Hour’ is observed on the last Saturday of March, 'Earth Day USA' is celebrated annually on April 22, 'World D Town Planning Day' falls on November 8. 'World Environment Day' is marked on the 5th day of the month of  
(A) May 
(B) June 
(C) September 
(D) October",B,,,
 60 ,"Based on his landmark book, design with Nature,” ‘sieve mapping' to identify 'ecological constraints' was a tool devised in 1969 by the first modem environmental planne 
(A) Ian L. McHarg 
(B) Konstantinos Doxiadis 
(C) Francis Stuart Chapin 
(D) Erma Bombeck",A,,,
 61 ,"Dr. William Rees coined this concept in 1992 to approximate the amount of productive space, measured in terms of global hectare (gha) per capita, needed to sustain a population which consumes food, water, energy, building materials etc and requires the sink functions of nature for human waste and pollution. 
(A) land-population ratio 
(B) Consumer price index 
(C) Index of environmental impact 
(D) ecological footprint",D,,,
 62 ,"Considered as the father of wildlife ecology, he advocated in 1948 a ""personal land ethic' for humans to become 'stewards-Of the land' and member-citizens of land-community rather than its conquerors or dominators. 
(A) Karol Wojtyla or 'John Paul II' 
(B) Ralph Waldo Emerson 
(C) Henry Wright 
(D) Aldo Leopold",D,,,
 63 ,"This started as a US federal program in 1949 which aimed to rehabilitate the outworn or decaying sections of any town by extending fund assistance to LGUs to undertake improvements in streetscapes, parks, greenways, housing, community centers, etc based on anticipation that future tax revenues from real estate will pay for present costs.
(A) land re-adjustment 
(B) urban restructuring 
(C) infill and densification 
(D) urban renewal",D,,,
 64 ,"As chief planner of New York City, Ile conceived and executed public works costing $27 billion between 1924 and 1968 and was responsible for virtually every parkway, expressway, and public housing project in greater NY area 
(A) Michael Bloomberg 
(B) William Levitt 
(C) Warren Buffett 
(D) Robert Moses",D,,,
 65 ,"In the 'Economy of Cities' (1969), this planner maintains that overall 'diversity', not specialization nor uniformization, promotes innovation among proximate firms and spurs the growth of cities, thus s/he advocated for heterogeneity, variety, & mixture in the geographic clustering of firms as well as in the composition of city districts & neighborhoods. 
(A) Herbert Gans 
(B) James Howard Kunstler 
(C) Joel Garreau 
(D) Jane Jacobs",D,,,
 66 ,"The major objective of 'New Urbanism' movement identified with Jane Jacobs, Leon Kner, Andres Duany, Elizabeth Plater-Zyberk, et.al. is to 
(A) re-build the architectural facade of old cities using post-modem methods and technologies 
(B) revitalize urban communities by creating 'centers' and by reviving traditional civic values
(C) design gated subdivisions as 'palimpsest' or urban collage of both old and new
(D) integrate development of both urban and rural areas inorder to save as much farmland as possible",B,,,
 67 ,"The critique of 'New Urbanism' against so-called 'Gentrification' or upscaling of inner-city neighboriloods was
(A) the latter is more interested in new businesses than in community re-building; hence soul-less and centerless 
(B) the latter leads to the exclusion of low-income groups
(C) the latter does not create mixed communities of varied socio-economic & demographic groups 
(D) all of the above",D,,,
 68 ,"All of the following schemes are associated with 'New Urbanism' except :
(A) Mixed Use Zoning 
(B) Neo-Traditional Design 
(C) Exclusionary Zoning 
(D) Pedestrianization",C,,,
 69 ,"According to Kevin Andrew Lynch, a good 'urban design• is one where residents and visitors can use a 'cognitive image' or 'mental map' of the city as they navigate through the territory in the process of 'wayfinding'. He identified the elements of legibility of place as: 
(A) Circumferentials. arterials, radials, and residuals 
(B) Skyscrapers, skyways, multi-nodals, intermodals
(C) Arched gateways, waterfronts, boulevards, and promenades 
(D) Paths, edges, nodes, districts, and landmarks",D,,,
 70 ,"Urban design uses the climate, natural landscape as well as built assets to create distinctive places that contribute ' to local identity. Urban design strengthens the city's character by reflecting its cultural layers and by enabling residents and visitors alike to 'read the city' by way of its history, customs, icons. and visual elements: 
(A) 'Cosmopolitanism' 
(B) 'Palimpsest or Mosaic' 
(C) 'Sense of Place' 
(D) 'Inclusion and lnculturation'",C,,,
 71 ,"The following planners were most concerned about 'human scale and the social usage of urban space.’
(A) David Harvey, Manuel Castells. Ray Pahl 
(B) Jane Jacobs, Kevin Lynch, William H. Whyte 
(C) Robert Moses, William Levitt, Richard King Mellon 
(D) T J Ken~ Edwin C. Banfield, Albert Z. Guttenberg",B,,,
 72 ,"""Transit-Oriented Development by Peter Calthorpe which focuses on citizen's access to mass transport can be considered under which general type of urban design?
 (A) Formalistic Design 
(B) Civic-Centered Design 
(C) Customer-Centered Design 
(D) Eco-centric Design",C,,,
 73 ,"Smart Growth USA' with its 10 declared principles can be considered under which general type of urban design? 
(A) Formalistic Design 
(B) Civic-Centered Design 
(C) Customer-Centered Design 
(D) Eco-centric Design",B,,,
 74 ,"Which goal of ""smart Growth USA"" addresses social participation? 
(A) Direct growth toward existing population centers, thru public spending on infrastructure and utilities (B) Foster distinctive, attractive communities with a strong sense of plate by creating walkable neighborhoods and providing a variety of transportation choices 
(C) Make development decisions predictable, fair, and cost effective, and encourage stakeholder collaboration in development decisions 
(D) Create a range of housing choices and opportunities by allowing mixture of land uses 
(E) Preserve and protect open space, farmland, natural beauty, and environmentally sensitive areas",C,,,
 75 ,"Because pre-Spanish aboriginal communities in the Philippines were relatively small and based on kinship relations, the most common practice of land tenure in pre-colonial society was called 
(A) primitive communism 
(B) Islamic feudalism 
(C) usufruct 
(D) tenancy",C,,,
 76 ,"This was the Spanish spatial strategy of forming agglomerated settlements from scattered dwellings for purposes of greater military defense and political control - literally bringing together dispersed population within hearing distance of church bells - which policy was applied on most Spanish colonies from 16th to 18th centuries. 
(A) El Alcance del Campanario 
(B) Presidio y Fortaleza 
(C) Reduccion 
(D) Evangelizacion",C,,,
 77 ,"During the period 1565-1896, the urban control points designated by the Spanish colonial government were the 
(A) alcaldias y pueblos 
(B) barrios y sitios 
(C) haciendas y villas 
(D) cabeceras y poblaciones",D,,,
 78 ,"The Torrens Title System which entrenched the concept of absolute private ownership of land in the Philippines is a legacy from what colonial period in history? 
(A) Spanish 
(B) American 
(C) Japanese 
(D) British",B,,,
 79 ,"Through Presidential Letter of Instruction 367 in 1950 combining National Urban Planning Commission. Real Property Board, and Capital City Planning Commission, the government created this first physical planning body.  
(A) National Planning Commission 
(B) National Disaster Coordinating Council
(C) National Environmental Protection Agency 
(D) Human Settlements Regulatory Commission",A,,,
 80 ,"In 1964, Republic Act 4341 established this center to create a pool of professional planners in the Philippines. 
(A) Local Government Academy
(B) Development Academy of the Philippines 
(C) Institute of Planning 
(D) UPLB lnstitute of Environmental Science and Management",C,,,
 81 ,"In 1970, the Presidential Advisory Council on Public Works and Community Development and the UP lnstitute of Environmental Planning together drafted the first-ever national physical framework plan that attempted to address spatial inequity or regional imbalance using the concept of 
(A) integrated area development 
(B) growth pole/growth center 
(C) selective territorial closure 
(D) agropolis",B,,,
 82 ,"Presidential Decree No. 01 Integrated Reorganization Plan on September 24, 1972 increased the number of Philippine regions from eight since 1954 to 11, regionalized key ministries and line departments, and created a major planning agency of government which is known today as 
(A) Philippine Economic Zone Au1hority 
(B) Export Processing Zone Authority 
(C) Regional Development Coordination Board 
(D) National Economic and Development Authority",D,,,
 83 ,"Presidential Decree 824 on February 27, 1975 created the Metro Manila Commission as the first-ever structure of metropolitan governance in the Philippines following the organizational model called
(A) Annexation and Amagamation (one-tier government) 
(B) Jurisdictional Fragmentation (Council of Local Government)
(C) Voluntary clustering and inter-LGU cooperation
(D) Functional Consolidation (two-tier metropolitan government)",A,,,
 84 ,"In 1978, American lnstitute of Planners (established 1917) and American Society of Planning Officials (established 1934) combined to become the present-day 
(A) American Institute of Environmental Planning 
(B) Royal Institute of Town and Country Planning
(C) Planning Society of All-America 
(D) American Planning Association",D,,,
 85 ,"The first State-wide land use plan in 1973 which defined Urban Growth Boundaries (UGBs) that separated urban and rural areas inorder to limit growth within serviced areas and to preserve rural farmland for a timeframe of 20 years, took place in the State of 
(A) Oregon 
(B) New York 
(C) California 
(D) Florida",A,,,
 86 ,"An innovation in land-use regulation in which the right to develop a property can be separated or severed from ownership of land in a particular zoning district, sold or passed on to another property owner, and exercised in connection with the development of land in some other area of the jurisdiction. 
(A) Market-based instrument 
(B) Commutation of Rights 
(C) Property Conversion 
(D) Transfer of Development Rights",D,,,
 87 ,"Which planning concept, first upheld by the US Supreme Court in the 1976 case of 'Penn Central Transportation Co. versus City of New York"" incorporates a market mechanism to mitigate whatever financial burden local law might have imposed on property? 
(A) Planned Unit Devt 
(B) Conservation Easements 
(C) Transfer of Development Rights 
(D) Eminent Domain",C,,,
 88 ,"In all but one of following cases, the US Supreme Court declared 'takings' by government as illegal, as it upheld the Constitutional precept that 'private property shall not be taken for public use without just compensation.' 
(A) Where a regulation is merely intended to prevent a nuisance and remove discomfort caused to the public 
(B) Where a regulation forced a landowner to allow someone else to enter onto the property; 
(C) Where a regulation imposes burdens or costs on a landowner that do not bear a 'reasonable relationship' to the impacts of the project on the community;
(D) Where government can equally accomplish a valid public purpose through less intrusive regulation or through a requirement of dedicating property 
(E) Where a landowner has been denied 'all economically viable use' of the land",A,,,
