,SCORE,,,72,100%
 54 ,"Ecological Solid Waste Management Act of 2000 stand for: 

a. RA 9003     b. RA 9030             c. RA 3900      d. RA 3090           ",A,a,Correct,1
 55 ,"The Chairperson of the National Solid Waste Management Commission shall be the Secretary of which department? 

a. DENR    b. DILG        c. DOH      d. DOST            ",A,a,Correct,1
 56 ,"Every ___ is mandated to have at least one Materials Recovery Facility. 

a. Barangay 
b. Municipality/City 
c. Province
d. District",A,a,Correct,1
 57 ,"Clean Air Act stand for: 

a. RA 8749       b. RA 8794      c. RA 8974       d. RA 8479",a,a,Correct,1
 58 ,"According to RA 8749, this geographic-based document integrates primary data and information on natural resources and anthropogenic activities on the land as evaluated using various risk assessment and forecasting methodologies and evaluates environment quality and carrying capacity of an area in such a way that enables planners and government decision-makers to anticipate the type of development 
control necessary in the planning area. 

a. Natural Resources Inventory 
b. Environmental Accounting 
c. Biogeographic Compendium 
d. Eco-Profile 
",D,d,Correct,1
 59 ,"Under E0192, this body of the DENR recommends possible legislations, policies and programs for environmental management and pollution control. 

a. Forest Management Bureau 
b. Lands Management Bureau 
c. Mines and Geosciences Bureau 
d. Environmental Management Bureau ",d,d,Correct,1
 60 ,"Prohibition of phosphate detergents represents a specific regulatory response to protect which of the following natural resources? 

a. Wetland habitat 
b. Surface water 
c. Groundwater
d. Both A and B",C,c,Correct,1
 61 ,"According to RA 9275 Sec 4, it refers to the entire system which covers conservation, regulation and minimization of pollution, clean production, waste management, environmental law and policy, environmental education and information, study and mitigation of the environmental impacts of human activity, and environmental research. 

a. Environment and Natural Resources Development 
b. Regional Planning 
c. Environmental Management 
d. Environmental Planning",C,c,Correct,1
 62 ,"Which infrastructure or urban service are the provisions in RA 9275 most relevant to? 

a. Domestic Water Sources 
b. Flood Control and Drainage 
c. Sewage Disposal 
d. Garbage Dump or Sanitary Landfill ",C,c,Correct,1
 63 ,"What law mandates the DPWH to construct water wells and  rainwater collectors, develop springs and rehabilitate existing waterwells in all barangays in the Philippines:

a. RA 9275    b. PD 1067        c. RA 6716     d. PD 856        ",c,c,Correct,1
 64 ,"PD 1067 Water Code of 1976 Article 51 requires a three-meter easement from the banks of creeks, canals, and esteros, in urban areas, but MMDA Resolution 3 s. 1996, has expanded the easement for Metro Manila areasadjoining water bodies as measured from the banks of Pasig River, tributary streams and the shoreline, to be at least 

a. 5 meters      b. 10 meters      c. 12 meters     d. 15 meters         ",b,b,Correct,1
 65 ,"Rivers shores and coasts shall have easements of __ in urban areas, __ in rural areas and __ in forested areas. 

a. 10m, 20m, 30m        b. 5m, 20m, 40m      c. 5m, 15m, 40m     d. 3m, 20m, 40m         ",d,d,Correct,1
 66 ,"This recreational water class for bathing and swimming is: 

a. Class A       b. Class B   c. Class C     d. Class D      
",c,c,Correct,1
 67 ,"The classification of fresh surface water for agriculture, irrigation, livestock watering, and for cooling industrial plants: 

a. Class A    b. Class B      c. Class C     d. Class D",D,d,Correct,1
 68 ,"This refers to rights of landowners along a water body to use the water for their economic needs provided they return to the same body the water in similar quality. 

a. hydrologic rights         b. rights of first use   c. riverine rights     d. riparian rights          ",D,d,Correct,1
 69 ,"What is the law that reorganized the Philippine Statistical System and created the Philippine Statistics Authority (PSA), thereby abolishing the National Statistics Office (NSO), Bureau of Agricultural Statistics (BAS), and the Bureau of Labor and Employment Statistics (BLES)? 
a. R.A. No. 10587      b. R.A. No. 10121        c. R.A. No. 10591      d. R.A. No. 10625           ",d,d,Correct,1
 70 ,"Under  Executive Orders 127, 127-A and 292, which. of the following is not a function of the Department of Finance? 

a. Formulation, institutionalization and administration of fiscal policies of government 
b. Supervision of the revenue operations of all local government units 
c. Conceptualization of major government investments on infrastructure and utilities 
d. Review, approval and management of all public ",c,c,Correct,1
 71 ,"Which of the following is not a function of the Housing and Urban Development Coordinating Council? 

a. Custodian and keeper of all resources of government related to housing and urban development 
b. Determine participation and coordinate activities of housing agencies in national housing program 
c. Monitor, review and evaluate the effective exercise by government housing agencies of their assigned functions 
d. Assist in the maximum participation of the private sector in all aspects of housing and urban development ",C,c,Correct,1
 72 ,"The agency that implements the laws, rules and regulations that support policies of Government with regard to optimizing the use of land as a resource is 

a. NEDA       b. DAR     c. HLURB    d. DPWH             ",C,c,Correct,1
,End of Refresher-Environmental Laws,,,,
